age,game_num,position_bit_1,position_bit_2,position_bit_3,away,kickoff_dome_x,kickoff_weather_summary_x_bit_1,kickoff_weather_summary_x_bit_2,kickoff_weather_summary_x_bit_3,kickoff_weather_summary_x_bit_4,kickoff_weather_summary_x_bit_5,kickoff_weather_summary_x_bit_6,wind_speed,wind_direction_1,wind_direction_2,wind_direction_3,wind_direction_4,wind_direction_5,kickoff_humidity_x,kickoff_visibility_x,kickoff_barometer_x,kickoff_dew_point_x,kickoff_cloud_cover_x,gs,rush_yds
26.313000000000002,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,39.0,15.0,30.0,51.0,0,1,3
26.32,2,0,1,0,0,0,0,1,1,0,0,0,4,1,0,0,0,0,47.0,10.0,30.0,47.0,0,1,6
26.326999999999998,3,0,1,0,0,0,1,0,1,0,0,0,14,0,1,0,1,0,30.0,10.0,29.0,45.0,0,1,3
26.340999999999998,4,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,96.0,37.0,29.0,34.0,0,1,16
26.348000000000003,5,0,1,0,0,0,1,0,0,0,0,0,6,0,1,1,0,0,67.0,10.0,30.0,51.0,0,1,25
26.355,6,0,1,0,1,1,1,1,0,0,0,0,9,1,0,1,1,0,59.0,10.0,30.0,40.0,0,1,0
26.362,7,0,1,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,25.0,10.0,29.0,30.0,0,1,14
27.004,8,0,1,0,0,0,1,0,1,0,0,0,4,1,1,1,0,0,42.0,10.0,30.0,24.0,0,1,11
27.008000000000003,9,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,74.0,10.0,30.0,35.0,0,1,8
27.018,10,0,1,0,1,1,1,1,0,1,0,0,19,1,1,1,0,0,62.0,10.0,29.0,63.0,0,1,12
27.025,11,0,1,0,1,0,1,0,1,0,0,0,14,1,0,1,1,0,50.0,10.0,29.0,56.0,0,1,6
27.031999999999996,12,0,1,0,1,0,1,1,0,0,0,0,7,0,1,1,1,0,47.0,10.0,30.0,54.0,0,1,7
27.039,13,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,62.0,8.0,29.0,30.0,21,1,22
27.046,14,0,1,0,1,0,1,0,0,0,0,0,5,0,1,0,1,0,93.0,8.0,31.0,43.0,100,1,3
27.054000000000002,15,0,1,0,0,0,0,1,0,0,0,0,7,1,0,1,0,0,75.0,7.0,31.0,38.0,50,1,25
27.06,16,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,87.0,9.0,29.0,32.0,100,1,8
27.319000000000003,1,0,1,0,1,0,0,1,0,0,0,0,9,0,1,0,1,0,54.0,10.0,31.0,57.0,56,1,1
27.326,2,0,1,0,0,0,0,1,0,0,0,0,6,0,0,1,1,0,43.0,10.0,29.0,49.0,28,1,10
27.333000000000002,3,0,1,0,1,0,1,1,0,0,0,0,8,1,1,1,1,0,61.0,10.0,30.0,58.0,71,1,10
27.34,4,0,1,0,0,0,0,0,0,0,0,0,8,1,1,1,1,0,57.0,10.0,30.0,57.0,23,1,16
27.346999999999998,5,0,1,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,42.0,10.0,29.0,48.0,20,1,18
27.354,6,0,1,0,1,0,1,1,0,0,0,0,2,0,0,1,0,0,80.0,9.0,29.0,31.0,77,1,-2
28.003,7,0,1,0,1,0,0,1,0,0,0,0,9,1,0,1,1,0,57.0,10.0,29.0,48.0,42,1,4
28.006999999999998,8,0,1,0,0,0,1,1,0,0,0,0,5,0,1,1,0,0,77.0,9.0,30.0,58.0,61,1,5
28.018,9,0,1,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,81.0,6.0,29.0,43.0,37,1,31
28.024,10,0,1,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,28.0,10.0,30.0,31.0,10,1,34
28.031,11,0,1,0,0,0,1,1,0,0,0,0,6,0,0,1,1,0,81.0,8.0,31.0,40.0,92,1,4
28.038,12,0,1,0,1,0,1,1,0,0,0,0,5,1,0,1,1,0,66.0,9.0,29.0,35.0,87,1,11
28.045,13,0,1,0,0,0,0,1,0,0,0,0,6,1,1,1,0,0,69.0,9.0,30.0,55.0,56,1,0
28.318,1,0,1,0,1,0,0,1,0,0,0,0,9,0,1,0,0,0,47.0,10.0,29.0,58.0,37,1,7
28.325,2,0,1,0,1,0,0,0,1,1,0,0,3,1,1,1,0,0,90.0,3.0,30.0,68.0,69,1,7
28.331999999999997,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,59.0,8.0,30.0,66.0,1,1,40
28.336,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,88.0,4.0,29.0,56.0,64,1,-12
28.346,5,0,1,0,1,0,0,0,0,0,0,0,3,0,0,1,1,0,34.0,10.0,29.0,44.0,15,1,34
28.353,6,0,1,0,1,0,0,0,0,0,0,0,7,1,1,0,0,0,61.0,10.0,29.0,52.0,15,1,17
28.36,7,0,1,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,52.0,6.0,29.0,48.0,0,1,0
29.000999999999998,8,0,1,0,0,0,1,1,0,0,0,0,3,1,0,1,0,0,93.0,2.0,30.0,50.0,86,1,21
29.016,9,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,32.0,10.0,29.0,24.0,99,1,15
29.022,10,0,1,0,0,0,1,0,0,0,0,0,7,0,0,1,0,0,63.0,6.0,30.0,25.0,97,1,10
29.029,11,0,1,0,1,0,0,0,0,0,0,0,8,0,1,0,0,0,46.0,10.0,30.0,29.0,10,1,14
29.035999999999998,12,0,1,0,0,0,1,1,0,0,0,0,3,1,0,1,0,0,65.0,6.0,32.0,30.0,73,1,9
29.043000000000003,13,0,1,0,1,0,0,1,0,0,0,1,13,1,1,1,0,0,86.0,4.0,29.0,24.0,73,1,17
29.05,14,0,1,0,0,0,1,1,0,0,0,0,7,0,0,1,0,0,78.0,6.0,29.0,20.0,93,1,1
29.055999999999997,15,0,1,0,1,0,0,1,0,0,0,0,8,1,1,0,1,0,82.0,9.0,29.0,66.0,26,1,0
29.064,16,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,93.0,1.0,30.0,36.0,96,1,4
29.316,1,0,1,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,47.0,4.0,29.0,48.0,0,1,2
29.32,2,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,86.0,5.0,31.0,63.0,73,1,5
29.33,3,0,1,0,1,0,0,0,0,0,0,0,7,0,1,1,0,0,50.0,6.0,31.0,67.0,4,1,-2
29.337,4,0,1,0,1,0,0,0,0,0,0,0,2,1,1,0,1,0,41.0,3.0,30.0,40.0,6,1,29
29.344,5,0,1,0,0,0,1,0,1,1,0,0,2,1,0,1,0,0,91.0,6.0,29.0,61.0,60,1,2
29.358,6,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,52.0,10.0,29.0,54.0,10,1,8
30.0,7,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,69.0,5.0,30.0,29.0,74,1,10
30.006999999999998,8,0,1,0,1,0,1,1,0,0,0,0,4,0,0,1,1,0,79.0,9.0,31.0,70.0,66,1,-1
30.014,9,0,1,0,1,0,1,1,0,0,0,0,2,0,1,1,0,0,85.0,6.0,32.0,48.0,74,1,0
30.021,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,4.0,29.0,10.0,10,1,4
30.028000000000002,11,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,57.0,5.0,31.0,32.0,6,1,26
30.035999999999998,12,0,1,0,0,0,0,1,0,0,0,0,3,1,1,1,0,0,50.0,5.0,31.0,41.0,25,1,19
30.041999999999998,13,0,1,0,0,0,1,1,0,0,0,0,4,1,1,0,0,0,64.0,5.0,30.0,19.0,80,1,0
30.049,14,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,91.0,3.0,29.0,22.0,100,1,0
30.055999999999997,15,0,1,0,0,0,1,1,0,0,0,0,2,1,1,1,0,0,75.0,5.0,31.0,28.0,91,1,-1
30.063000000000002,16,0,1,0,1,0,1,1,0,0,0,0,5,1,0,0,1,0,45.0,10.0,29.0,1.0,70,1,-2
25.104,2,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,82.0,10.0,30.0,72.0,0,1,0
25.111,3,0,1,0,0,1,0,1,1,0,0,0,15,0,0,1,0,0,37.0,10.0,30.0,50.0,0,1,-1
25.125,4,0,1,0,1,0,0,1,0,0,0,0,6,0,1,0,1,0,38.0,10.0,29.0,34.0,0,1,30
25.133000000000003,5,0,1,0,0,1,0,1,1,0,0,0,11,0,1,1,0,0,84.0,10.0,29.0,59.0,0,1,-1
25.139,6,0,1,0,0,1,1,1,0,0,0,0,4,1,0,0,0,0,54.0,10.0,30.0,45.0,0,1,-2
25.146,7,0,1,0,1,0,1,0,1,0,0,0,13,0,1,1,0,0,42.0,10.0,29.0,59.0,0,1,1
25.153000000000002,8,0,1,0,1,0,0,1,1,0,0,0,10,0,1,0,0,0,48.0,10.0,30.0,44.0,0,1,9
25.16,9,0,1,0,1,1,0,1,1,0,0,0,6,0,1,1,1,0,18.0,20.0,29.0,36.0,0,1,0
26.186999999999998,12,0,1,0,0,0,1,1,0,0,0,0,5,1,0,1,1,0,66.0,9.0,29.0,35.0,87,1,4
26.215,16,0,1,0,0,0,1,1,0,0,0,0,12,0,0,1,0,0,81.0,5.0,32.0,28.0,68,1,22
31.19,1,0,1,0,0,0,1,1,0,0,0,0,5,1,1,1,1,0,74.0,9.0,30.0,65.0,0,1,0
31.198,2,0,1,0,1,0,1,0,1,0,0,0,3,0,0,0,1,0,87.0,10.0,30.0,54.0,0,1,6
31.204,3,0,1,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,83.0,10.0,30.0,47.0,0,1,7
31.211,4,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,8.0,29.0,0,0,1,0
31.225,5,0,1,0,1,0,1,0,1,0,0,0,10,0,1,1,1,0,56.0,10.0,30.0,49.0,0,1,11
31.232,6,0,1,0,0,0,1,0,1,0,0,0,7,1,1,0,0,0,53.0,10.0,30.0,35.0,0,1,25
31.239,7,0,1,0,1,0,1,1,0,0,0,0,15,0,1,0,1,0,88.0,7.0,29.0,55.0,0,1,1
31.246,8,0,1,0,1,0,1,0,1,0,0,0,3,1,0,0,1,0,36.0,10.0,30.0,17.0,0,1,-1
31.253,9,0,1,0,0,0,1,0,0,0,0,0,17,0,0,1,0,0,46.0,10.0,30.0,25.0,0,1,0
31.26,10,0,1,0,0,0,1,1,1,1,0,0,11,0,1,1,0,0,90.0,7.0,29.0,56.0,0,1,12
31.267,11,0,1,0,1,0,0,1,0,1,1,1,22,0,0,1,0,0,0.0,10.0,30.0,0.0,0,1,-3
31.271,12,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,42.0,6.0,30.0,16.0,0,1,11
31.281,13,0,1,0,0,0,0,0,1,0,0,1,4,1,1,1,1,0,84.0,34.0,30.0,22.0,0,1,8
31.288,14,0,1,0,0,0,1,0,0,1,0,0,18,0,1,0,1,0,63.0,10.0,29.0,16.0,0,1,0
31.295,15,0,1,0,1,0,0,0,1,0,0,1,5,0,0,0,1,0,89.0,4.0,29.0,19.0,0,1,13
31.302,16,0,1,0,0,0,0,0,0,0,0,1,7,1,0,0,1,0,93.0,2.0,29.0,39.0,0,1,9
32.189,1,0,1,0,0,0,0,1,1,0,0,0,6,1,0,0,0,0,44.0,10.0,30.0,49.0,0,1,8
32.193000000000005,2,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,62.0,24.0,29.0,66.0,0,1,0
32.203,3,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,71.0,10.0,29.0,64.0,0,1,1
32.21,4,0,1,0,0,0,1,0,1,0,0,0,6,1,1,0,0,0,48.0,10.0,30.0,52.0,0,1,4
32.217,5,0,1,0,1,0,1,0,1,0,0,0,4,0,0,0,1,0,28.0,10.0,30.0,38.0,0,1,-2
32.224000000000004,6,0,1,0,1,0,1,0,1,0,0,0,7,0,1,1,1,0,38.0,10.0,30.0,38.0,0,1,7
32.232,7,0,1,0,0,0,1,1,1,1,0,0,8,1,1,0,0,0,74.0,8.0,29.0,43.0,0,1,3
32.238,8,0,1,0,0,0,1,0,1,0,0,0,7,0,1,0,1,0,27.0,10.0,29.0,22.0,0,1,-1
32.245,9,0,1,0,0,0,1,0,1,0,0,0,5,0,0,1,0,0,54.0,10.0,30.0,22.0,0,1,1
32.251999999999995,10,0,1,0,1,0,1,0,1,0,0,0,9,1,0,1,1,0,37.0,10.0,29.0,31.0,0,1,0
32.26,11,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,63.0,10.0,30.0,14.0,0,1,2
32.273,12,0,1,0,0,0,1,0,0,0,0,0,12,1,0,1,1,0,56.0,10.0,29.0,45.0,0,1,8
32.28,13,0,1,0,1,0,0,0,0,0,0,0,3,0,0,1,1,0,62.0,8.0,29.0,30.0,21,1,-1
32.287,14,0,1,0,1,1,0,0,0,0,0,0,8,0,0,1,0,0,49.0,10.0,29.0,36.0,0,1,-2
32.294000000000004,15,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,67.0,8.0,31.0,24.0,86,1,-4
32.301,16,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,87.0,9.0,29.0,32.0,100,1,3
33.192,1,0,1,0,1,0,1,1,1,1,0,0,9,0,0,1,1,0,95.0,6.0,30.0,62.0,100,1,0
33.202,2,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,50.0,10.0,31.0,49.0,14,1,-1
33.209,3,0,1,0,1,1,1,1,0,0,0,0,4,1,1,0,1,0,72.0,9.0,31.0,66.0,91,1,0
33.244,8,0,1,0,0,0,0,1,0,0,0,0,9,1,0,1,1,0,57.0,10.0,29.0,48.0,42,1,0
33.251,9,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,48.0,10.0,29.0,32.0,3,1,0
33.272,11,0,1,0,1,0,1,1,0,0,0,0,2,1,1,0,0,0,81.0,5.0,29.0,32.0,66,1,18
33.279,12,0,1,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,81.0,9.0,29.0,30.0,54,1,13
33.286,13,0,1,0,1,0,0,1,0,0,0,0,6,1,1,1,0,0,69.0,9.0,30.0,55.0,56,1,6
33.293,14,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,51.0,10.0,29.0,20.0,6,1,-3
33.3,15,0,1,0,1,0,1,0,0,0,0,0,6,1,0,1,1,0,88.0,9.0,29.0,60.0,99,1,0
33.306999999999995,16,0,1,0,1,0,1,1,0,0,0,0,12,0,0,1,0,0,81.0,5.0,32.0,28.0,68,1,-2
34.194,1,0,1,0,1,0,0,0,0,0,0,0,3,0,1,1,1,0,53.0,10.0,29.0,58.0,2,1,-2
34.2,2,0,1,0,0,0,0,0,1,1,0,0,3,1,1,1,0,0,90.0,3.0,30.0,68.0,69,1,14
34.207,3,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,37.0,10.0,31.0,43.0,20,1,7
34.214,4,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,90.0,8.0,29.0,57.0,26,1,-1
34.221,5,0,1,0,0,0,0,1,0,0,0,0,6,0,1,0,0,0,61.0,10.0,29.0,44.0,56,1,0
34.228,6,0,1,0,1,0,0,1,0,0,0,0,11,1,1,1,1,0,74.0,9.0,32.0,73.0,33,1,0
34.249,8,0,1,0,1,0,1,1,0,0,0,0,10,1,0,0,1,0,38.0,10.0,30.0,37.0,66,1,3
34.256,9,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,38.0,10.0,30.0,29.0,6,1,1
34.263000000000005,10,0,1,0,1,0,1,0,0,0,0,0,16,0,0,1,0,0,71.0,7.0,29.0,27.0,98,1,0
34.266999999999996,11,0,1,0,1,1,1,0,0,0,0,0,4,0,1,0,1,0,86.0,9.0,29.0,36.0,99,1,0
34.277,12,0,1,0,0,0,0,1,0,0,0,0,2,0,1,1,1,0,66.0,10.0,29.0,30.0,39,1,0
34.284,13,0,1,0,1,0,1,1,0,1,1,0,6,0,1,1,0,0,75.0,4.0,29.0,17.0,71,1,-2
34.291,14,0,1,0,1,0,1,1,0,0,0,0,7,0,0,1,0,0,78.0,6.0,29.0,20.0,93,1,-5
34.298,15,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,80.0,9.0,29.0,33.0,49,1,-1
35.192,1,0,1,0,1,0,0,0,0,0,0,0,5,1,1,1,1,0,53.0,3.0,30.0,48.0,0,1,-8
35.199,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,66.0,10.0,31.0,66.0,23,1,-2
35.205999999999996,3,0,1,0,1,0,0,0,0,0,0,0,3,1,1,1,0,0,47.0,10.0,30.0,65.0,5,1,6
35.213,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,55.0,9.0,29.0,47.0,7,1,-1
35.22,5,0,1,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,76.0,10.0,29.0,63.0,68,1,1
35.227,6,0,1,0,1,0,0,0,0,0,0,0,6,0,1,0,0,0,50.0,8.0,30.0,41.0,0,1,-2
35.234,7,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,52.0,10.0,29.0,54.0,10,1,-3
35.241,8,0,1,0,1,1,1,1,0,0,0,0,2,0,1,0,0,0,75.0,10.0,29.0,35.0,86,1,-2
35.255,9,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,76.0,9.0,29.0,35.0,75,1,5
35.259,10,0,1,0,0,0,1,1,0,0,0,0,2,0,1,0,1,0,79.0,10.0,30.0,31.0,78,1,10
35.269,11,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,60.0,10.0,29.0,23.0,2,1,25
35.277,12,0,1,0,1,0,0,1,0,0,0,0,3,1,1,1,0,0,50.0,5.0,31.0,41.0,25,1,4
35.283,13,0,1,0,0,0,1,1,0,0,0,0,3,1,0,1,1,0,62.0,10.0,31.0,19.0,87,1,5
35.29,14,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,69.0,10.0,29.0,31.0,68,1,10
35.298,15,0,1,0,1,0,1,1,0,0,0,0,4,1,0,1,0,0,66.0,10.0,29.0,40.0,71,1,-1
23.328000000000003,1,0,1,0,0,0,0,1,1,0,0,0,10,0,0,0,1,0,50.0,10.0,29.0,66.0,0,1,16
23.349,4,0,1,0,0,0,1,1,0,0,0,0,11,0,0,1,1,0,62.0,10.0,29.0,66.0,0,1,10
23.355999999999998,5,0,1,0,1,1,1,1,0,0,0,0,13,0,1,0,1,0,51.0,10.0,29.0,39.0,0,1,6
26.024,9,0,1,0,0,0,1,1,0,0,0,0,2,0,1,0,1,0,83.0,7.0,29.0,53.0,74,1,32
26.038,10,0,1,0,1,0,0,1,0,0,0,0,3,1,0,0,1,0,64.0,10.0,32.0,36.0,27,1,22
26.045,11,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,37.0,10.0,31.0,31.0,6,1,11
26.052,12,0,1,0,1,0,0,0,0,0,0,0,4,1,1,0,0,0,65.0,9.0,29.0,34.0,20,1,75
26.059,13,0,1,0,1,0,1,1,0,0,0,0,8,1,1,1,0,0,78.0,8.0,32.0,55.0,91,1,19
26.066,14,0,1,0,0,0,1,1,0,0,0,0,5,0,1,1,0,0,72.0,9.0,31.0,43.0,62,1,10
26.073,15,0,1,0,1,1,1,1,0,0,0,0,13,1,0,0,1,0,80.0,9.0,30.0,31.0,93,1,9
26.08,16,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,56.0,10.0,32.0,42.0,45,1,7
26.333000000000002,1,0,1,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,68.0,9.0,30.0,50.0,15,1,43
26.339000000000002,2,0,1,0,1,0,0,1,0,0,0,0,3,1,1,0,1,0,57.0,10.0,29.0,68.0,28,1,10
26.346,3,0,1,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,54.0,10.0,29.0,52.0,45,1,22
26.353,4,0,1,0,0,0,0,1,0,0,0,0,8,0,0,1,0,0,56.0,9.0,30.0,52.0,39,1,27
26.357,5,0,1,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,36.0,10.0,29.0,44.0,11,1,70
28.035,10,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,41.0,10.0,30.0,35.0,2,1,13
28.041999999999998,11,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,17.0,10.0,30.0,34.0,18,1,17
28.049,12,0,1,0,0,1,0,0,0,0,0,0,3,1,1,1,0,0,26.0,10.0,29.0,40.0,9,1,12
28.055999999999997,13,0,1,0,0,1,0,0,0,0,0,0,4,1,1,1,1,0,10.0,10.0,31.0,15.0,20,1,12
28.063000000000002,14,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,55.0,7.0,30.0,32.0,4,1,28
22.153000000000002,4,0,1,0,1,0,1,0,1,0,1,0,7,0,1,0,1,0,62.0,20.0,29.0,58.0,0,1,24
22.16,5,0,1,0,0,0,1,0,1,0,0,0,4,0,0,0,1,0,28.0,10.0,30.0,38.0,0,1,14
22.166999999999998,6,0,1,0,1,0,1,1,0,0,0,0,7,1,1,0,0,0,76.0,10.0,29.0,66.0,0,1,38
22.174,7,0,1,0,0,0,1,1,0,0,0,0,10,0,0,1,1,0,56.0,10.0,30.0,57.0,0,1,37
22.180999999999997,8,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,41.0,10.0,29.0,55.0,0,1,48
22.188000000000002,9,0,1,0,1,0,1,0,1,0,0,0,4,1,1,1,0,0,42.0,10.0,30.0,24.0,0,1,10
22.195,10,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,17.0,29.0,0,0,1,3
22.209,11,0,1,0,1,1,0,0,0,0,0,1,9,1,1,0,1,0,92.0,1.0,29.0,49.0,0,1,24
22.215999999999998,12,0,1,0,0,0,0,1,0,0,0,0,7,1,1,1,0,0,57.0,10.0,30.0,56.0,0,1,68
22.223000000000003,13,0,1,0,0,0,1,0,0,0,0,0,9,1,0,0,0,0,81.0,9.0,30.0,52.0,100,1,10
22.23,14,0,1,0,1,0,1,1,0,0,0,0,7,0,1,0,0,0,65.0,9.0,29.0,38.0,83,1,2
22.234,15,0,1,0,0,0,0,1,0,0,0,0,3,0,1,0,1,0,75.0,9.0,31.0,46.0,51,1,50
22.244,16,0,1,0,1,0,0,1,0,1,1,0,8,0,1,0,0,0,92.0,7.0,30.0,40.0,100,1,61
23.138,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,53.0,10.0,31.0,63.0,31,1,26
23.145,2,0,1,0,0,0,0,0,0,0,0,0,5,0,1,1,1,0,57.0,10.0,31.0,67.0,24,1,27
23.151999999999997,3,0,1,0,1,0,0,0,0,0,0,0,3,1,1,1,0,0,44.0,10.0,29.0,47.0,1,1,7
23.159000000000002,4,0,1,0,1,1,0,1,0,0,0,0,8,0,0,1,1,0,57.0,10.0,29.0,55.0,41,1,31
23.166,5,0,1,0,1,0,0,0,0,0,0,0,9,0,1,0,0,0,55.0,10.0,30.0,66.0,21,1,21
23.173000000000002,6,0,1,0,0,0,1,1,0,0,0,0,13,0,0,0,1,0,66.0,10.0,30.0,58.0,70,1,37
23.18,7,0,1,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,63.0,9.0,29.0,39.0,19,1,-3
23.194000000000003,8,0,1,0,1,0,0,0,0,0,0,0,7,0,0,1,0,0,41.0,10.0,30.0,33.0,5,1,32
23.201,9,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,31.0,10.0,31.0,32.0,1,1,25
23.205,10,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,96.0,9.0,29.0,70.0,43,1,9
23.215,11,0,1,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,56.0,10.0,31.0,59.0,10,1,33
23.221999999999998,12,0,1,0,1,0,1,1,0,0,0,0,4,1,1,0,0,0,52.0,10.0,29.0,39.0,78,1,-1
23.229,13,0,1,0,0,0,0,1,0,0,0,0,8,0,1,1,1,0,64.0,10.0,29.0,64.0,50,1,17
23.236,14,0,1,0,0,0,0,0,0,0,0,0,7,1,1,1,1,0,60.0,10.0,29.0,54.0,23,1,44
23.243000000000002,15,0,1,0,1,1,0,1,0,0,0,0,11,1,1,0,1,0,86.0,7.0,31.0,70.0,49,1,5
23.25,16,0,1,0,1,0,0,1,0,0,0,0,4,1,0,0,1,0,52.0,10.0,31.0,39.0,38,1,0
24.136,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,57.0,10.0,29.0,74.0,28,1,2
24.143,2,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,64.0,9.0,31.0,65.0,2,1,34
24.15,3,0,1,0,0,0,0,1,0,0,0,0,4,0,0,1,1,0,63.0,9.0,30.0,73.0,34,1,17
24.156999999999996,4,0,1,0,0,0,0,1,0,0,0,0,6,1,0,0,1,0,62.0,10.0,29.0,45.0,44,1,36
24.171,5,0,1,0,1,0,1,0,0,0,0,0,3,1,1,0,0,0,91.0,7.0,29.0,64.0,100,1,1
24.178,6,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,44.0,10.0,29.0,49.0,6,1,33
24.182,7,0,1,0,1,0,0,0,0,0,0,0,4,1,0,0,1,0,75.0,9.0,32.0,58.0,10,1,22
24.191999999999997,8,0,1,0,1,0,0,0,0,0,0,0,6,1,1,1,0,0,57.0,10.0,32.0,45.0,5,1,54
24.199,9,0,1,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,76.0,9.0,30.0,63.0,31,1,11
24.206,10,0,1,0,1,1,1,1,0,0,0,0,16,0,1,0,0,0,67.0,10.0,29.0,23.0,86,1,3
24.213,11,0,1,0,1,0,1,1,0,0,0,0,6,0,1,0,1,0,77.0,8.0,32.0,32.0,70,1,81
24.22,12,0,1,0,0,0,0,1,0,0,0,0,3,1,0,1,0,0,61.0,10.0,30.0,61.0,28,1,29
24.226999999999997,13,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,72.0,9.0,29.0,57.0,14,1,13
24.234,14,0,1,0,1,0,1,1,0,0,0,0,11,1,0,0,0,0,54.0,10.0,32.0,22.0,90,1,-5
24.24,15,0,1,0,0,0,1,1,0,0,0,0,2,1,0,0,1,0,92.0,4.0,29.0,63.0,66,1,7
24.248,16,0,1,0,1,1,0,0,0,0,0,0,3,1,1,1,0,0,71.0,9.0,30.0,29.0,6,1,21
25.135,1,0,1,0,1,0,0,0,0,0,0,0,4,0,0,1,1,0,53.0,10.0,29.0,62.0,7,1,13
25.142,2,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,56.0,9.0,29.0,69.0,13,1,29
25.149,3,0,1,0,0,0,0,1,0,0,0,0,7,1,1,1,0,0,56.0,10.0,29.0,53.0,26,1,18
25.156,4,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,49.0,10.0,30.0,44.0,3,1,38
25.163,5,0,1,0,1,0,1,1,0,0,0,0,4,0,0,0,0,0,76.0,10.0,29.0,63.0,68,1,9
25.17,6,0,1,0,0,0,0,1,0,0,0,0,7,1,1,1,1,0,71.0,9.0,29.0,74.0,27,1,19
25.177,7,0,1,0,1,1,0,1,0,0,0,0,5,0,1,1,0,0,57.0,10.0,29.0,58.0,42,1,11
25.191,8,0,1,0,0,0,1,1,0,0,0,0,4,0,0,1,1,0,79.0,9.0,31.0,70.0,66,1,20
