age,game_num,position_bit_1,position_bit_2,position_bit_3,away,kickoff_dome_x,kickoff_weather_summary_x_bit_1,kickoff_weather_summary_x_bit_2,kickoff_weather_summary_x_bit_3,kickoff_weather_summary_x_bit_4,kickoff_weather_summary_x_bit_5,kickoff_weather_summary_x_bit_6,wind_speed,wind_direction_1,wind_direction_2,wind_direction_3,wind_direction_4,wind_direction_5,kickoff_humidity_x,kickoff_visibility_x,kickoff_barometer_x,kickoff_dew_point_x,kickoff_cloud_cover_x,rec_yds
24.357,1,1,0,0,1,1,0,0,0,0,0,0,6,0,0,0,0,0,17.0,10.0,29.0,47.0,12,0
25.011999999999997,4,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,96.0,9.0,29.0,54.0,100,0
25.019000000000002,5,1,0,0,1,0,0,1,0,0,0,0,9,0,1,0,0,0,61.0,7.0,29.0,44.0,51,0
25.026,6,1,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,61.0,10.0,29.0,52.0,15,0
25.046999999999997,9,1,0,0,1,0,0,1,0,0,0,0,3,0,0,1,0,0,76.0,9.0,30.0,59.0,36,0
25.054000000000002,10,1,0,0,1,1,0,1,0,0,0,0,4,1,0,0,0,0,65.0,9.0,30.0,51.0,35,22
25.068,11,1,0,0,0,0,1,1,0,0,0,0,6,0,0,1,0,0,31.0,5.0,30.0,15.0,82,43
25.075,12,1,0,0,1,0,0,1,0,0,0,0,3,1,0,1,0,0,61.0,10.0,30.0,61.0,28,3
25.081999999999997,13,1,0,0,1,0,0,1,0,0,0,0,11,0,1,1,0,0,36.0,10.0,30.0,22.0,35,57
25.089000000000002,14,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,49.0,7.0,29.0,10.0,10,35
25.355999999999998,1,1,0,0,0,0,0,1,0,0,0,0,3,1,1,1,0,0,43.0,3.0,29.0,49.0,36,34
25.362,2,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,49.0,3.0,29.0,49.0,40,0
26.004,3,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,56.0,10.0,29.0,67.0,6,5
26.011,4,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,34.0,4.0,31.0,40.0,40,75
26.025,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31.0,3.0,30.0,23.0,0,10
26.031999999999996,6,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,16.0,10.0,30.0,37.0,3,66
26.04,7,1,0,0,1,0,0,0,0,0,0,0,3,1,0,0,1,0,49.0,8.0,30.0,23.0,1,21
