age,game_num,position_bit_1,position_bit_2,position_bit_3,away,kickoff_dome_x,kickoff_weather_summary_x_bit_1,kickoff_weather_summary_x_bit_2,kickoff_weather_summary_x_bit_3,kickoff_weather_summary_x_bit_4,kickoff_weather_summary_x_bit_5,kickoff_weather_summary_x_bit_6,wind_speed,wind_direction_1,wind_direction_2,wind_direction_3,wind_direction_4,wind_direction_5,kickoff_humidity_x,kickoff_visibility_x,kickoff_barometer_x,kickoff_dew_point_x,kickoff_cloud_cover_x,gs,punt_ret_yds_per_ret
25.039,1,1,0,1,1,0,1,1,0,0,0,0,13,0,0,1,1,0,69.0,10.0,30.0,66.0,0,1,0.0
25.046999999999997,2,1,0,1,0,0,1,0,1,0,0,0,3,0,0,0,1,0,87.0,10.0,30.0,54.0,0,1,0.0
25.053,3,1,0,1,0,0,1,0,1,0,0,0,7,0,0,1,1,0,49.0,10.0,29.0,47.0,0,1,0.0
25.06,4,1,0,1,1,0,1,0,0,0,0,0,5,0,1,1,0,0,0.0,10.0,29.0,0.0,0,1,0.0
25.066999999999997,5,1,0,1,0,0,1,1,0,0,0,0,16,0,1,1,0,0,82.0,10.0,29.0,68.0,0,1,0.0
25.074,6,1,0,1,1,0,1,0,0,0,0,0,5,1,1,0,0,0,70.0,10.0,30.0,58.0,0,1,0.0
25.081,7,1,0,1,1,1,1,1,0,0,0,0,8,1,0,1,1,0,57.0,10.0,29.0,39.0,0,1,0.0
25.088,8,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,66.0,10.0,30.0,37.0,0,1,0.0
25.092,9,1,0,1,1,0,0,1,1,0,0,0,5,1,0,1,0,0,79.0,10.0,30.0,71.0,0,1,0.0
25.101999999999997,10,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,28.0,4.0,29.0,28.0,0,1,0.0
25.109,11,1,0,1,0,0,1,0,0,0,0,0,13,0,1,1,0,0,87.0,10.0,29.0,60.0,0,1,0.0
