ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1969,1969-09-14,1,22.139,BUF,,NYJ,L 19-33,9,18,2.00,0,2,7,3.50,1,0,0,,0,1,6
2,1969,1969-09-21,2,22.146,BUF,,HOU,L 3-17,1,2,2.00,0,0,0,,0,0,0,,0,0,0
3,1969,1969-09-28,3,22.153,BUF,,DEN,W 41-28,3,15,5.00,0,1,11,11.00,0,0,0,,0,0,0
4,1969,1969-10-05,4,22.160,BUF,@,HOU,L 14-28,0,0,,0,1,3,3.00,0,0,0,,0,0,0
5,1969,1969-10-19,6,22.174,BUF,@,OAK,L 21-50,10,68,6.80,0,3,69,23.00,1,0,0,,0,1,6
6,1969,1969-10-26,7,22.181,BUF,@,MIA,L 6-24,1,1,1.00,0,3,22,7.33,0,0,0,,0,0,0
7,1969,1969-11-02,8,22.188,BUF,,KAN,L 7-29,0,0,,0,1,6,6.00,0,0,0,,0,0,0
8,1969,1969-11-09,9,22.195,BUF,@,NYJ,L 6-16,5,17,3.40,0,2,5,2.50,0,0,0,,0,0,0
9,1969,1969-11-16,10,22.202,BUF,,MIA,W 28-3,8,35,4.38,1,1,2,2.00,0,0,0,,0,1,6
10,1969,1969-11-23,11,22.209,BUF,@,BOS,L 21-35,3,15,5.00,0,1,23,23.00,0,0,0,,0,0,0
11,1969,1969-11-30,12,22.216,BUF,,CIN,W 16-13,5,14,2.80,0,1,2,2.00,0,0,0,,0,0,0
12,1969,1969-12-07,13,22.223,BUF,@,KAN,L 19-22,0,0,,0,0,0,,0,1,12,12.00,0,0,0
13,1969,1969-12-14,14,22.230,BUF,@,SDG,L 6-45,2,6,3.00,0,3,36,12.00,0,0,0,,0,0,0
14,1970,1970-09-20,1,23.145,BUF,,DEN,L 10-25,5,5,1.00,0,1,8,8.00,0,0,0,,0,0,0
15,1970,1970-09-27,2,23.152,BUF,,RAM,L 0-19,3,19,6.33,0,5,18,3.60,0,0,0,,0,0,0
16,1970,1970-10-04,3,23.159,BUF,,NYJ,W 34-31,1,8,8.00,0,0,0,,0,0,0,,0,0,0
17,1970,1970-10-11,4,23.166,BUF,@,PIT,L 10-23,0,0,,0,5,33,6.60,0,0,0,,0,0,0
18,1970,1970-10-18,5,23.173,BUF,,MIA,L 14-33,0,0,,0,3,26,8.67,0,0,0,,0,0,0
19,1970,1970-10-25,6,23.180,BUF,@,NYJ,W 10-6,0,0,,0,1,4,4.00,0,1,17,17.00,0,0,0
20,1970,1970-11-01,7,23.187,BUF,@,BOS,W 45-10,1,11,11.00,0,2,34,17.00,1,0,0,,0,1,6
21,1970,1970-11-08,8,23.194,BUF,,CIN,L 14-43,1,5,5.00,0,0,0,,0,1,22,22.00,0,0,0
22,1970,1970-11-15,9,23.201,BUF,@,BAL,T 17-17,1,10,10.00,0,0,0,,0,1,21,21.00,0,0,0
23,1970,1970-11-22,10,23.208,BUF,@,CHI,L 13-31,12,44,3.67,0,3,14,4.67,0,0,0,,0,0,0
24,1970,1970-11-29,11,23.215,BUF,,BOS,L 10-14,11,37,3.36,0,6,38,6.33,0,0,0,,0,0,0
25,1970,1970-12-06,12,23.222,BUF,@,NYG,L 6-20,9,22,2.44,0,4,18,4.50,0,0,0,,0,0,0
26,1970,1970-12-13,13,23.229,BUF,,BAL,L 14-20,10,36,3.60,0,2,18,9.00,0,0,0,,0,0,0
27,1970,1970-12-20,14,23.236,BUF,@,MIA,L 7-45,4,-1,-0.25,0,3,24,8.00,0,0,0,,0,0,0
28,1971,1971-12-19,14,24.235,OAK,,DEN,W 21-13,,,,,,,,,,,,,,
