ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2017,2017-09-10,1,23.059,CLE,,PIT,L 18-21,*,0.0,1,0
2,2017,2017-09-17,2,23.066,CLE,@,BAL,L 10-24,*,0.0,4,0
3,2017,2017-09-24,3,23.073,CLE,@,IND,L 28-31,*,0.0,2,3
4,2017,2017-10-01,4,23.080,CLE,,CIN,L 7-31,*,1.0,2,2
5,2017,2017-10-08,5,23.087,CLE,,NYJ,L 14-17,*,0.0,0,1
6,2017,2017-10-15,6,23.094,CLE,@,HOU,L 17-33,*,0.0,1,0
7,2017,2017-10-22,7,23.101,CLE,,TEN,L 9-12,*,0.0,1,2
8,2017,2017-11-12,9,23.122,CLE,@,DET,L 24-38,*,0.0,1,1
9,2017,2017-11-19,10,23.129,CLE,,JAX,L 7-19,*,0.0,2,2
10,2017,2017-11-26,11,23.136,CLE,@,CIN,L 16-30,*,0.0,2,1
11,2017,2017-12-03,12,23.143,CLE,@,LAC,L 10-19,*,0.0,3,1
12,2017,2017-12-10,13,23.150,CLE,,GNB,L 21-27,*,0.0,0,2
13,2017,2017-12-17,14,23.157,CLE,,BAL,L 10-27,*,1.0,2,1
14,2017,2017-12-24,15,23.164,CLE,@,CHI,L 3-20,*,0.0,1,0
15,2017,2017-12-31,16,23.171,CLE,@,PIT,L 24-28,*,0.0,2,1
16,2018,2018-09-09,1,24.058,CLE,,PIT,T 21-21,*,0.0,1,2
17,2018,2018-09-16,2,24.065,CLE,@,NOR,L 18-21,*,0.0,1,2
18,2018,2018-09-20,3,24.069,CLE,,NYJ,W 21-17,*,0.0,1,1
