ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1972,1972-09-17,1,24.114,SDG,@,SFO,L 3-34,3,10,3.33,0,2,30,15.00,0,1,0,0.00,0
2,1972,1972-09-24,2,24.121,SDG,,DEN,W 37-14,4,8,2.00,0,1,23,23.00,0,0,0,,0
3,1972,1972-10-01,3,24.128,SDG,@,OAK,T 17-17,0,0,,0,3,71,23.67,0,0,0,,0
4,1972,1972-10-08,4,24.135,SDG,@,BAL,W 23-20,,,,,,,,,,,,
5,1972,1972-10-15,5,24.142,SDG,@,MIA,L 10-24,0,0,,0,1,22,22.00,0,0,0,,0
6,1972,1972-10-22,6,24.149,SDG,@,DET,L 20-34,0,0,,0,4,96,24.00,0,0,0,,0
7,1972,1972-10-29,7,24.156,SDG,,KAN,L 14-26,0,0,,0,3,79,26.33,0,0,0,,0
8,1972,1972-11-05,8,24.163,SDG,,DAL,L 28-34,0,0,,0,2,41,20.50,0,0,0,,0
9,1972,1972-11-13,9,24.171,SDG,,CLE,L 17-21,0,0,,0,4,88,22.00,0,0,0,,0
10,1972,1972-11-19,10,24.177,SDG,@,KAN,W 27-17,0,0,,0,2,48,24.00,0,0,0,,0
11,1972,1972-11-26,11,24.184,SDG,,HOU,W 34-20,3,25,8.33,0,1,31,31.00,0,0,0,,0
12,1972,1972-12-03,12,24.191,SDG,,OAK,L 19-21,1,4,4.00,0,4,76,19.00,0,0,0,,0
13,1972,1972-12-10,13,24.198,SDG,@,DEN,L 13-38,2,11,5.50,0,1,18,18.00,0,0,0,,0
14,1972,1972-12-17,14,24.205,SDG,,PIT,L 2-24,0,0,,0,3,53,17.67,0,0,0,,0
