ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1968,1968-09-15,1,22.016,DEN,@,CIN,L 10-24,1,6,6.00,0,0,0,,0,0,0,,0
2,1968,1968-09-22,2,22.023,DEN,@,KAN,L 2-34,3,-1,-0.33,0,1,4,4.00,0,0,0,,0
3,1968,1968-09-29,3,22.030,DEN,,BOS,L 17-20,5,21,4.20,0,0,0,,0,0,0,,0
4,1968,1968-10-06,4,22.037,DEN,,CIN,W 10-7,4,7,1.75,0,0,0,,0,0,0,,0
5,1968,1968-10-13,5,22.044,DEN,@,NYJ,W 21-13,2,0,0.00,0,0,0,,0,0,0,,0
6,1968,1968-10-20,6,22.051,DEN,@,SDG,L 24-55,5,32,6.40,0,1,17,17.00,0,0,0,,0
7,1968,1968-11-10,9,22.072,DEN,,OAK,L 7-43,4,11,2.75,0,0,0,,0,0,0,,0
8,1968,1968-11-17,10,22.079,DEN,@,HOU,L 17-38,0,0,,0,0,0,,0,3,55,18.33,0
