ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1979,1979-09-02,1,26.348,MIN,,SFO,W 28-22,1,2,2.00,0,4,119,29.75,0,1,0,0.00,0
2,1979,1979-09-09,2,26.355,MIN,@,CHI,L 7-26,0,0,,0,3,65,21.67,0,1,-2,-2.00,0
3,1979,1979-09-30,5,27.011,MIN,@,DET,W 13-10,0,0,,0,2,34,17.00,0,5,29,5.80,0
4,1979,1979-10-07,6,27.018,MIN,,DAL,L 20-36,0,0,,0,3,91,30.33,0,2,5,2.50,0
5,1979,1979-10-15,7,27.026,MIN,@,NYJ,L 7-14,0,0,,0,3,62,20.67,0,5,12,2.40,0
6,1979,1979-10-21,8,27.032,MIN,,CHI,W 30-27,0,0,,0,5,171,34.20,0,5,46,9.20,0
7,1979,1979-10-28,9,27.039,MIN,,TAM,L 10-12,0,0,,0,3,58,19.33,0,4,45,11.25,0
8,1979,1979-11-04,10,27.046,MIN,@,STL,L 7-37,0,0,,0,7,143,20.43,0,2,41,20.50,0
9,1979,1979-11-11,11,27.053,MIN,@,GNB,L 7-19,0,0,,0,3,33,11.00,0,2,1,0.50,0
10,1979,1979-11-18,12,27.060,MIN,,DET,W 14-7,0,0,,0,2,42,21.00,0,3,1,0.33,0
11,1979,1979-11-25,13,27.067,MIN,@,TAM,W 23-22,0,0,,0,3,132,44.00,0,3,8,2.67,0
12,1979,1979-12-02,14,27.074,MIN,@,RAM,L 21-27,0,0,,0,2,47,23.50,0,0,0,,0
13,1979,1979-12-09,15,27.081,MIN,,BUF,W 10-3,,,,,,,,,,,,
14,1979,1979-12-16,16,27.088,MIN,@,NWE,L 23-27,0,0,,0,4,106,26.50,0,0,0,,0
