ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1985,1985-09-08,1,22.103,PIT,,IND,W 45-3,3,9,3.00,0
2,1985,1985-09-16,2,22.111,PIT,@,CLE,L 7-17,1,-1,-1.00,0
3,1985,1985-09-22,3,22.117,PIT,,HOU,W 20-0,0,0,,0
4,1985,1985-09-30,4,22.125,PIT,,CIN,L 24-37,0,0,,0
5,1985,1985-10-06,5,22.131,PIT,@,MIA,L 20-24,0,0,,0
6,1985,1985-10-13,6,22.138,PIT,@,DAL,L 13-27,0,0,,0
7,1985,1985-10-20,7,22.145,PIT,,STL,W 23-10,2,7,3.50,0
8,1985,1985-10-27,8,22.152,PIT,@,CIN,L 21-26,1,-1,-1.00,0
9,1985,1985-11-03,9,22.159,PIT,,CLE,W 10-9,1,3,3.00,0
10,1985,1985-11-10,10,22.166,PIT,@,KAN,W 36-28,0,0,,0
11,1985,1985-11-17,11,22.173,PIT,@,HOU,W 30-7,0,0,,0
12,1985,1985-11-24,12,22.180,PIT,,WAS,L 23-30,0,0,,0
13,1985,1985-12-01,13,22.187,PIT,,DEN,L 23-31,0,0,,0
14,1985,1985-12-08,14,22.194,PIT,@,SDG,L 44-54,0,0,,0
15,1985,1985-12-15,15,22.201,PIT,,BUF,W 30-24,0,0,,0
16,1985,1985-12-21,16,22.207,PIT,@,NYG,L 10-28,0,0,,0
