ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1970,1970-09-20,1,22.244,BUF,,DEN,L 10-25
2,1970,1970-09-27,2,22.251,BUF,,RAM,L 0-19
3,1970,1970-10-04,3,22.258,BUF,,NYJ,W 34-31
4,1970,1970-10-11,4,22.265,BUF,@,PIT,L 10-23
5,1970,1970-10-18,5,22.272,BUF,,MIA,L 14-33
6,1970,1970-10-25,6,22.279,BUF,@,NYJ,W 10-6
7,1970,1970-11-01,7,22.286,BUF,@,BOS,W 45-10
8,1970,1970-11-08,8,22.293,BUF,,CIN,L 14-43
9,1970,1970-11-15,9,22.300,BUF,@,BAL,T 17-17
10,1970,1970-11-22,10,22.307,BUF,@,CHI,L 13-31
11,1970,1970-11-29,11,22.314,BUF,,BOS,L 10-14
12,1970,1970-12-06,12,22.321,BUF,@,NYG,L 6-20
13,1970,1970-12-13,13,22.328,BUF,,BAL,L 14-20
14,1970,1970-12-20,14,22.335,BUF,@,MIA,L 7-45
