ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1974,1974-11-17,10,22.111,BUF,@,MIA,L 28-35,,6,9,66.67,98,2,1,103.0,0,0,10.89,10.33,4,20,5.00,0,0,0
2,1974,1974-12-08,13,22.132,BUF,@,NYJ,L 10-20,,2,3,66.67,27,0,0,95.1,0,0,9.00,9.00,0,0,,0,0,0
3,1974,1974-12-15,14,22.139,BUF,@,RAM,L 14-19,,1,6,16.67,15,0,2,0.0,0,0,2.50,-12.50,0,0,,0,0,0
4,1975,1975-09-21,1,23.054,BUF,,NYJ,W 42-14,,,,,,,,,,,,,,,,,,
5,1975,1975-10-05,3,23.068,BUF,,DEN,W 38-14,,0,0,,0,0,0,,0,0,,,1,7,7.00,0,0,0
6,1975,1975-11-09,8,23.103,BUF,,BAL,L 35-42,,2,10,20.00,33,1,1,34.6,0,0,3.30,0.80,3,46,15.33,0,0,0
7,1975,1975-12-14,13,23.138,BUF,@,NWE,W 34-14,,1,2,50.00,41,1,0,135.4,0,0,20.50,30.50,0,0,,0,0,0
8,1975,1975-12-20,14,23.144,BUF,,MIN,L 13-35,,10,21,47.62,161,1,1,69.7,0,0,7.67,6.48,3,25,8.33,0,0,0
9,1976,1976-09-13,1,24.046,BUF,,MIA,L 21-30,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
10,1976,1976-09-19,2,24.052,BUF,,HOU,L 3-13,,2,6,33.33,21,0,0,44.4,0,0,3.50,3.50,1,4,4.00,0,0,0
11,1976,1976-10-10,5,24.073,BUF,@,NYJ,L 14-17,,3,6,50.00,40,0,0,71.5,0,0,6.67,6.67,4,19,4.75,1,1,6
12,1976,1976-10-24,7,24.087,BUF,,NWE,L 22-26,,6,22,27.27,61,1,1,35.8,0,0,2.77,1.64,8,74,9.25,0,0,0
13,1976,1976-10-31,8,24.094,BUF,,NYJ,L 14-19,*,10,30,33.33,116,2,3,28.6,0,0,3.87,0.70,4,7,1.75,0,0,0
14,1976,1976-11-07,9,24.101,BUF,@,NWE,L 10-20,*,15,34,44.12,241,0,4,28.8,0,0,7.09,1.79,4,26,6.50,1,1,6
15,1976,1976-11-15,10,24.109,BUF,@,DAL,L 10-17,*,10,28,35.71,132,1,1,48.5,0,0,4.71,3.82,2,10,5.00,0,0,0
16,1976,1976-11-21,11,24.115,BUF,,SDG,L 13-34,*,8,30,26.67,83,0,3,0.0,0,0,2.77,-1.73,4,10,2.50,0,0,0
17,1976,1976-11-25,12,24.119,BUF,@,DET,L 14-27,*,4,21,19.05,29,0,1,19.7,0,0,1.38,-0.76,3,13,4.33,0,0,0
18,1976,1976-12-05,13,24.129,BUF,@,MIA,L 27-45,*,13,29,44.83,155,2,2,56.0,0,0,5.34,3.62,5,28,5.60,0,0,0
19,1976,1976-12-12,14,24.136,BUF,@,BAL,L 20-58,*,11,24,45.83,120,1,1,57.6,0,0,5.00,3.96,4,39,9.75,0,0,0
