ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2005,2005-09-11,1,25.016,JAX,,SEA,W 26-14,,0,0,0,,0,0.0%,,0,0,,0,2,46,23.00,0,0,0
2,2005,2005-09-25,3,25.030,JAX,@,NYJ,W 26-20,,0,0,0,,0,0.0%,,0,0,,0,4,93,23.25,0,0,0
3,2005,2005-10-09,5,25.044,JAX,,CIN,W 23-20,,0,0,0,,0,0.0%,,0,0,,0,4,73,18.25,0,0,0
4,2005,2005-10-16,6,25.051,JAX,@,PIT,W 23-17,*,3,0,0,,0,0.0%,0.00,0,0,,0,2,40,20.00,0,0,0
5,2005,2005-10-30,7,25.065,JAX,@,STL,L 21-24,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,4,106,26.50,0,0,0
6,2005,2005-11-06,8,25.072,JAX,,HOU,W 21-14,,0,0,0,,0,0.0%,,2,6,3.00,0,2,46,23.00,0,0,0
7,2005,2005-11-13,9,25.079,JAX,,BAL,W 30-3,,2,2,9,4.50,0,100.0%,4.50,0,0,,0,2,63,31.50,0,0,0
8,2005,2005-11-20,10,25.086,JAX,@,TEN,W 31-28,,0,0,0,,0,0.0%,,0,0,,0,2,48,24.00,0,0,0
9,2005,2005-11-27,11,25.093,JAX,@,ARI,W 24-17,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,3,138,46.00,1,1,6
10,2005,2005-12-04,12,25.100,JAX,@,CLE,W 20-14,,0,0,0,,0,0.0%,,0,0,,0,2,56,28.00,0,0,0
11,2005,2005-12-11,13,25.107,JAX,,IND,L 18-26,,0,0,0,,0,0.0%,,0,0,,0,5,92,18.40,0,0,0
12,2005,2005-12-18,14,25.114,JAX,,SFO,W 10-9,,3,1,6,6.00,0,33.3%,2.00,0,0,,0,1,16,16.00,0,0,0
13,2005,2005-12-24,15,25.120,JAX,@,HOU,W 38-20,,0,0,0,,0,0.0%,,0,0,,0,4,85,21.25,0,0,0
14,2005,2006-01-01,16,25.128,JAX,,TEN,W 40-13,,0,0,0,,0,0.0%,,1,6,6.00,1,2,53,26.50,0,1,6
15,2006,2006-09-10,1,26.015,JAX,,DAL,W 24-17,*,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
16,2006,2006-09-18,2,26.023,JAX,,PIT,W 9-0,*,,,,,,0.0%,,,,,,,,,,,
17,2006,2006-10-08,5,26.043,JAX,,NYJ,W 41-0,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
18,2006,2006-10-22,6,26.057,JAX,@,HOU,L 7-27,,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,0
19,2006,2006-10-29,7,26.064,JAX,@,PHI,W 13-6,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
20,2006,2006-11-20,10,26.086,JAX,,NYG,W 26-10,,0,0,0,,0,0.0%,,0,0,,0,1,27,27.00,0,0,0
21,2006,2006-11-26,11,26.092,JAX,@,BUF,L 24-27,*,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
22,2006,2006-12-03,12,26.099,JAX,@,MIA,W 24-10,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0
23,2006,2006-12-10,13,26.106,JAX,,IND,W 44-17,,1,1,9,9.00,0,100.0%,9.00,1,3,3.00,0,1,33,33.00,0,0,0
24,2006,2006-12-17,14,26.113,JAX,@,TEN,L 17-24,*,1,0,0,,0,0.0%,0.00,0,0,,0,3,55,18.33,0,0,0
25,2006,2006-12-24,15,26.120,JAX,,NWE,L 21-24,*,0,0,0,,0,0.0%,,0,0,,0,3,66,22.00,0,0,0
26,2006,2006-12-31,16,26.127,JAX,@,KAN,L 30-35,*,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0
