ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1998,1998-09-07,1,23.340,NWE,@,DEN,L 21-27,,13,50,3.85,1,1,0,0,,0,0.0%,0.00,1,6
2,1998,1998-09-13,2,23.346,NWE,,IND,W 29-6,,18,36,2.00,1,3,3,71,23.67,0,100.0%,23.67,1,6
3,1998,1998-09-20,3,23.353,NWE,,TEN,W 27-16,,12,92,7.67,1,1,0,0,,0,0.0%,0.00,1,6
4,1998,1998-10-04,4,24.002,NWE,@,NOR,W 30-27,,22,97,4.41,1,2,1,4,4.00,0,50.0%,2.00,1,6
5,1998,1998-10-11,5,24.009,NWE,,KAN,W 40-10,,23,104,4.52,1,3,3,32,10.67,1,100.0%,10.67,2,12
6,1998,1998-10-19,6,24.017,NWE,,NYJ,L 14-24,,22,104,4.73,1,5,4,24,6.00,0,80.0%,4.80,1,6
7,1998,1998-10-25,7,24.023,NWE,@,MIA,L 9-12,,19,27,1.42,0,4,3,26,8.67,0,75.0%,6.50,0,0
8,1998,1998-11-01,8,24.030,NWE,@,IND,W 21-16,,23,70,3.04,1,5,3,12,4.00,0,60.0%,2.40,1,6
9,1998,1998-11-08,9,24.037,NWE,,ATL,L 10-41,,10,11,1.10,0,6,5,34,6.80,0,83.3%,5.67,0,0
10,1998,1998-11-15,10,24.044,NWE,@,BUF,L 10-13,,14,50,3.57,0,3,1,10,10.00,0,33.3%,3.33,0,0
11,1998,1998-11-23,11,24.052,NWE,,MIA,W 26-23,,14,24,1.71,0,2,1,46,46.00,0,50.0%,23.00,0,0
12,1998,1998-11-29,12,24.058,NWE,,BUF,W 25-21,,13,40,3.08,0,3,2,6,3.00,1,66.7%,2.00,1,6
13,1998,1998-12-06,13,24.065,NWE,@,PIT,W 23-9,,28,66,2.36,1,2,1,6,6.00,0,50.0%,3.00,1,6
14,1998,1998-12-13,14,24.072,NWE,@,STL,L 18-32,,24,196,8.17,0,3,0,0,,0,0.0%,0.00,0,0
15,1998,1998-12-20,15,24.079,NWE,,SFO,W 24-21,,24,101,4.21,1,5,4,52,13.00,1,80.0%,10.40,2,12
16,1998,1998-12-27,16,24.086,NWE,@,NYJ,L 10-31,,12,47,3.92,0,4,4,8,2.00,0,100.0%,2.00,0,0
17,2002,2002-09-08,1,27.341,MIA,,DET,W 49-21,,4,20,5.00,1,4,4,38,9.50,1,100.0%,9.50,2,12
18,2002,2002-09-15,2,27.348,MIA,@,IND,W 21-13,,0,0,,0,2,1,5,5.00,0,50.0%,2.50,0,0
19,2002,2002-09-22,3,27.355,MIA,,NYJ,W 30-3,,2,16,8.00,0,2,1,4,4.00,0,50.0%,2.00,0,0
20,2002,2002-09-29,4,27.362,MIA,@,KAN,L 30-48,,1,5,5.00,0,3,3,15,5.00,0,100.0%,5.00,0,0
21,2002,2002-10-06,5,28.004,MIA,,NWE,W 26-13,,4,13,3.25,0,1,1,10,10.00,0,100.0%,10.00,0,0
22,2002,2002-10-13,6,28.011,MIA,@,DEN,W 24-22,,1,2,2.00,0,1,1,-2,-2.00,0,100.0%,-2.00,0,0
23,2002,2002-10-20,7,28.018,MIA,,BUF,L 10-23,,2,9,4.50,0,4,2,12,6.00,0,50.0%,3.00,0,0
24,2002,2002-11-04,8,28.033,MIA,@,GNB,L 10-24,,3,34,11.33,0,1,1,13,13.00,0,100.0%,13.00,0,0
25,2002,2002-11-10,9,28.039,MIA,@,NYJ,L 10-13,,1,6,6.00,0,3,3,26,8.67,0,100.0%,8.67,0,0
26,2002,2002-11-17,10,28.046,MIA,,BAL,W 26-7,,,,,,1,,,,,0.0%,,,
27,2002,2002-11-24,11,28.053,MIA,,SDG,W 30-3,,2,2,1.00,0,1,1,5,5.00,0,100.0%,5.00,0,0
28,2002,2002-12-01,12,28.060,MIA,@,BUF,L 21-38,,,,,,,,,,,0.0%,,,
