ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1966,1966-10-08,5,22.325,CLE,,PIT,W 41-10,1,3,3.00,0,0,0,,0,0,0,,0,0,0
2,1966,1966-10-30,7,22.347,CLE,@,ATL,W 49-17,3,14,4.67,0,0,0,,0,3,52,17.33,0,0,0
3,1966,1966-12-17,14,23.030,CLE,@,STL,W 38-10,3,15,5.00,0,0,0,,0,0,0,,0,0,0
4,1967,1967-11-05,8,23.353,NOR,,PHI,W 31-24,4,13,3.25,0,0,0,,0,0,0,,0,0,0
5,1967,1967-11-12,9,23.360,NOR,,DAL,L 10-27,0,0,,0,1,18,18.00,0,0,0,,0,0,0
6,1967,1967-11-19,10,24.002,NOR,@,PHI,L 21-48,2,17,8.50,0,1,7,7.00,0,0,0,,0,0,0
7,1967,1967-11-26,11,24.009,NOR,,ATL,W 27-24,4,26,6.50,1,0,0,,0,0,0,,0,1,6
8,1967,1967-12-03,12,24.016,NOR,@,STL,L 20-31,5,8,1.60,0,2,6,3.00,0,0,0,,0,0,0
9,1967,1967-12-10,13,24.023,NOR,@,BAL,L 10-30,5,29,5.80,0,6,92,15.33,0,0,0,,0,0,0
10,1967,1967-12-17,14,24.030,NOR,@,WAS,W 30-14,12,24,2.00,1,4,63,15.75,0,0,0,,0,1,6
11,1968,1968-09-15,1,24.303,NOR,,CLE,L 10-24,15,55,3.67,0,3,12,4.00,0,0,0,,0,0,0
12,1968,1968-09-22,2,24.310,NOR,,WAS,W 37-17,4,19,4.75,0,1,7,7.00,0,0,0,,0,0,0
13,1968,1968-09-29,3,24.317,NOR,,STL,L 20-21,8,23,2.88,0,3,8,2.67,0,0,0,,0,0,0
14,1968,1968-10-06,4,24.324,NOR,@,NYG,L 21-38,2,2,1.00,0,3,0,0.00,0,0,0,,0,0,0
15,1968,1968-10-13,5,24.331,NOR,,MIN,W 20-17,1,4,4.00,0,1,-4,-4.00,0,0,0,,0,0,0
16,1968,1968-10-20,6,24.338,NOR,@,PIT,W 16-12,8,27,3.38,0,1,11,11.00,0,0,0,,0,0,0
17,1968,1968-11-10,9,24.359,NOR,@,CLE,L 17-35,4,19,4.75,0,0,0,,0,0,0,,0,0,0
18,1968,1968-11-17,10,25.000,NOR,@,GNB,L 7-29,1,3,3.00,0,0,0,,0,0,0,,0,0,0
