ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2017,2017-09-10,1,22.160,GNB,,SEA,W 17-9,,2,9,4.50,0,0,0,0,,0,0.0%,,0,0
2,2017,2017-09-17,2,22.167,GNB,@,ATL,L 23-34,,2,6,3.00,0,1,1,5,5.00,0,100.0%,5.00,0,0
3,2017,2017-09-24,3,22.174,GNB,,CIN,W 27-24,,1,6,6.00,0,0,0,0,,0,0.0%,,0,0
4,2017,2017-09-28,4,22.178,GNB,,CHI,W 35-14,,4,11,2.75,0,1,1,2,2.00,0,100.0%,2.00,0,0
5,2017,2017-10-08,5,22.188,GNB,@,DAL,W 35-31,,1,1,1.00,0,0,0,0,,0,0.0%,,0,0
6,2017,2017-10-15,6,22.195,GNB,@,MIN,L 10-23,,0,0,,0,0,0,0,,0,0.0%,,0,0
7,2017,2017-10-22,7,22.202,GNB,,NOR,L 17-26,,0,0,,0,0,0,0,,0,0.0%,,0,0
8,2017,2017-11-06,8,22.217,GNB,,DET,L 17-30,,1,1,1.00,1,2,2,31,15.50,0,100.0%,15.50,1,6
9,2017,2017-11-12,9,22.223,GNB,@,CHI,W 23-16,,20,67,3.35,0,1,1,7,7.00,0,100.0%,7.00,0,0
10,2017,2017-11-19,10,22.230,GNB,,BAL,L 0-23,*,18,57,3.17,0,6,4,38,9.50,0,66.7%,6.33,0,0
11,2017,2017-11-26,11,22.237,GNB,@,PIT,L 28-31,*,21,66,3.14,1,5,4,69,17.25,1,80.0%,13.80,2,12
12,2017,2017-12-03,12,22.244,GNB,,TAM,W 26-20,*,21,113,5.38,1,3,2,10,5.00,0,66.7%,3.33,1,6
13,2017,2017-12-10,13,22.251,GNB,@,CLE,W 27-21,*,15,49,3.27,1,7,7,69,9.86,1,100.0%,9.86,2,12
14,2017,2017-12-17,14,22.258,GNB,@,CAR,L 24-31,*,10,30,3.00,0,0,0,0,,0,0.0%,,0,0
15,2017,2017-12-23,15,22.264,GNB,,MIN,L 0-16,*,15,58,3.87,0,3,0,0,,0,0.0%,0.00,0,0
16,2017,2017-12-31,16,22.272,GNB,@,DET,L 11-35,*,22,82,3.73,0,5,3,31,10.33,0,60.0%,6.20,0,0
17,2018,2018-09-09,1,23.159,GNB,,CHI,W 24-23,*,15,47,3.13,0,2,0,0,,0,0.0%,0.00,0,0
18,2018,2018-09-16,2,23.166,GNB,,MIN,T 29-29,*,16,59,3.69,0,4,3,12,4.00,0,75.0%,3.00,0,0
19,2018,2018-09-23,3,23.173,GNB,@,WAS,L 17-31,*,5,29,5.80,0,3,2,16,8.00,0,66.7%,5.33,0,0
