ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1961,1961-10-01,3,26.218,MIN,@,BAL,L 33-34,12,31,2.58,1,4,69,17.25,0,0,0,,0,1,6
2,1961,1961-10-08,4,26.225,MIN,,DAL,L 0-28,1,2,2.00,0,0,0,,0,0,0,,0,0,0
3,1961,1961-10-15,5,26.232,MIN,,SFO,L 24-38,4,17,4.25,0,3,19,6.33,0,0,0,,0,0,0
4,1961,1961-10-22,6,26.239,MIN,,GNB,L 7-33,13,51,3.92,0,4,17,4.25,0,0,0,,0,0,0
5,1961,1961-10-29,7,26.246,MIN,@,GNB,L 10-28,2,-1,-0.50,0,0,0,,0,0,0,,0,0,0
6,1961,1961-11-05,8,26.253,MIN,@,RAM,L 17-31,13,79,6.08,0,2,1,0.50,0,0,0,,0,0,0
7,1961,1961-11-19,10,26.267,MIN,,DET,L 10-37,1,3,3.00,0,1,2,2.00,0,0,0,,0,0,0
8,1961,1961-12-03,12,26.281,MIN,,RAM,W 42-21,18,123,6.83,1,1,7,7.00,0,1,0,0.00,0,1,6
9,1961,1961-12-10,13,26.288,MIN,@,DET,L 7-13,9,14,1.56,0,0,0,,0,0,0,,0,0,0
10,1961,1961-12-17,14,26.295,MIN,@,CHI,L 35-52,0,0,,0,1,6,6.00,0,0,0,,0,0,0
