ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1977,1977-12-18,14,24.302,ATL,,NOR,W 35-7,,1,1,100.00,-1,0,0,79.2,0,0,-1.00,-1.00,0,0,,0
2,1978,1978-09-03,1,25.196,ATL,,HOU,W 20-14,*,10,23,43.48,104,1,0,71.6,0,0,4.52,5.39,1,-1,-1.00,0
3,1978,1978-09-10,2,25.203,ATL,@,RAM,L 0-10,*,5,15,33.33,38,0,1,14.6,0,0,2.53,-0.47,4,18,4.50,0
4,1978,1978-09-17,3,25.210,ATL,,CLE,L 16-24,*,4,13,30.77,62,0,2,8.0,0,0,4.77,-2.15,0,0,,0
5,1978,1978-10-30,9,25.253,ATL,,RAM,W 15-7,,7,11,63.64,87,0,0,88.1,0,0,7.91,7.91,2,-4,-2.00,0
6,1978,1978-11-05,10,25.259,ATL,,SFO,W 21-10,,2,3,66.67,46,0,0,109.7,0,0,15.33,15.33,3,-16,-5.33,0
7,1978,1978-12-03,14,25.287,ATL,@,CIN,L 7-37,,1,4,25.00,2,0,0,39.6,0,0,0.50,0.50,0,0,,0
8,1978,1978-12-17,16,25.301,ATL,@,STL,L 21-42,,5,10,50.00,55,0,1,27.1,0,0,5.50,1.00,0,0,,0
9,1979,1979-09-02,1,26.195,ATL,@,NOR,W 40-34,,,,,,,,,,,,,,,,
10,1979,1979-10-14,7,26.237,ATL,@,OAK,L 19-50,,5,9,55.56,75,0,0,83.1,0,0,8.33,8.33,1,3,3.00,0
11,1979,1979-11-11,11,26.265,ATL,@,NYG,L 3-24,,4,8,50.00,84,0,0,87.5,0,0,10.50,10.50,1,0,0.00,0
12,1979,1979-11-19,12,26.273,ATL,@,RAM,L 14-20,*,11,24,45.83,181,2,2,64.8,0,0,7.54,5.46,2,14,7.00,0
13,1979,1979-11-25,13,26.279,ATL,,NOR,L 6-37,*,18,42,42.86,165,0,1,44.2,0,0,3.93,2.86,2,2,1.00,0
14,1981,1981-09-20,3,28.213,ATL,,SFO,W 34-17,,1,1,100.00,14,0,0,118.7,0,0,14.00,14.00,1,-1,-1.00,0
15,1981,1981-09-27,4,28.220,ATL,@,CLE,L 17-28,,0,0,,0,0,0,,0,,,,0,0,,0
16,1981,1981-10-18,7,28.241,ATL,,STL,W 41-20,,0,0,,0,0,0,,0,,,,0,0,,0
17,1981,1981-11-01,9,28.255,ATL,@,NOR,W 41-10,,1,2,50.00,11,0,0,66.7,0,0,5.50,5.50,0,0,,0
