ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1962,1962-10-07,5,23.038,BUF,@,HOU,L 14-17,0,0,,0,1,27,27.00,0
2,1962,1962-10-13,6,23.044,BUF,,SDG,W 35-10,1,5,5.00,0,2,53,26.50,0
3,1962,1962-10-20,7,23.051,BUF,,OAK,W 14-6,0,0,,0,2,44,22.00,0
4,1962,1962-10-28,8,23.059,BUF,@,DEN,W 45-38,0,0,,0,3,72,24.00,0
5,1962,1962-11-03,9,23.065,BUF,,BOS,T 28-28,0,0,,0,2,48,24.00,0
6,1962,1962-11-11,10,23.073,BUF,@,SDG,W 40-20,2,1,0.50,0,1,12,12.00,0
7,1962,1962-11-23,12,23.085,BUF,@,BOS,L 10-21,1,11,11.00,0,1,5,5.00,0
8,1962,1962-12-02,13,23.094,BUF,,DTX,W 23-14,0,0,,0,2,26,13.00,0
