ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1995,1995-09-10,2,22.272,SFO,,ATL,W 41-10,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,,0
2,1995,1995-09-17,3,22.279,SFO,,NWE,W 28-3,1,6,6.00,0,0,0,0,,0,0.0%,,2,47,23.50,0
3,1995,1995-09-25,4,22.287,SFO,@,DET,L 24-27,0,0,,0,0,0,0,,0,0.0%,,3,78,26.00,0
4,1995,1995-10-01,5,22.293,SFO,,NYG,W 20-6,0,0,,0,2,2,4,2.00,0,100.0%,2.00,1,29,29.00,0
5,1995,1995-10-15,6,22.307,SFO,@,IND,L 17-18,0,0,,0,0,0,0,,0,0.0%,,6,163,27.17,0
6,1995,1995-10-22,7,22.314,SFO,@,STL,W 44-10,3,4,1.33,0,0,0,0,,0,0.0%,,1,29,29.00,0
7,1995,1995-10-29,8,22.321,SFO,,NOR,L 7-11,0,0,,0,1,1,4,4.00,0,100.0%,4.00,2,31,15.50,0
8,1995,1995-11-05,9,22.328,SFO,,CAR,L 7-13,5,19,3.80,0,0,0,0,,0,0.0%,,0,0,,0
9,1995,1995-11-26,12,22.349,SFO,,STL,W 41-13,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0
10,1995,1995-12-03,13,22.356,SFO,,BUF,W 27-17,0,0,,0,0,0,0,,0,0.0%,,1,22,22.00,0
11,1995,1995-12-10,14,22.363,SFO,@,CAR,W 31-10,0,0,,0,0,0,0,,0,0.0%,,1,28,28.00,0
