ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1967,1967-11-12,9,23.320,NYG,@,CHI,L 7-34,1,-3,-3.00,0,2,19,9.50,0,2,25,12.50,0,0,0,,0,0,0,0,0,,0
2,1967,1967-11-19,10,23.327,NYG,,PIT,W 28-20,12,28,2.33,1,3,24,8.00,1,1,22,22.00,0,1,4,4.00,0,2,12,0,0,,0
3,1967,1967-11-26,11,23.334,NYG,,PHI,W 44-7,10,35,3.50,0,3,6,2.00,0,0,0,,0,2,7,3.50,0,0,0,0,0,,0
4,1967,1967-12-03,12,23.341,NYG,@,CLE,L 14-24,0,0,,0,0,0,,0,1,18,18.00,0,0,0,,0,0,0,0,0,,0
5,1967,1967-12-10,13,23.348,NYG,,DET,L 7-30,0,0,,0,0,0,,0,2,33,16.50,0,0,0,,0,0,0,0,0,,0
6,1967,1967-12-17,14,23.355,NYG,,STL,W 37-14,12,38,3.17,0,0,0,,0,0,0,,0,1,2,2.00,0,0,0,0,0,,0
7,1968,1968-09-15,1,24.263,NYG,@,PIT,W 34-20,11,29,2.64,1,4,32,8.00,0,0,0,,0,0,0,,0,1,6,0,0,,0
8,1968,1968-09-22,2,24.270,NYG,@,PHI,W 34-25,3,9,3.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,,0
9,1969,1969-09-28,2,25.275,NYG,@,DET,L 0-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,2,77,38.50,0
10,1969,1969-10-12,4,25.289,NYG,,PIT,W 10-7,6,23,3.83,0,1,17,17.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
11,1969,1969-10-19,5,25.296,NYG,@,WAS,L 14-20,19,87,4.58,1,3,25,8.33,0,0,0,,0,0,0,,0,1,6,0,0,,0
12,1969,1969-10-27,6,25.304,NYG,@,DAL,L 3-25,8,27,3.38,0,2,26,13.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
13,1969,1969-11-09,8,25.317,NYG,@,STL,L 17-42,2,4,2.00,0,0,0,,0,1,27,27.00,0,2,15,7.50,0,0,0,0,0,,0
14,1969,1969-11-16,9,25.324,NYG,,NOR,L 24-25,0,0,,0,0,0,,0,4,56,14.00,0,0,0,,0,0,0,0,0,,0
15,1969,1969-11-23,10,25.331,NYG,@,CLE,L 17-28,0,0,,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,,0
16,1970,1970-10-03,3,26.280,CLE,,PIT,W 15-7,7,23,3.29,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
17,1970,1970-10-25,6,26.302,CLE,@,MIA,W 28-0,3,8,2.67,1,1,-1,-1.00,0,0,0,,0,0,0,,0,1,6,0,0,,0
18,1970,1970-11-22,10,26.330,CLE,,HOU,W 28-14,2,8,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
