ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1997,1997-10-12,6,22.272,STL,@,SFO,L 10-30,0,0,,0,5,99,19.80,0,0,0
2,1997,1997-10-19,7,22.279,STL,,SEA,L 9-17,0,0,,0,4,67,16.75,0,0,0
3,1997,1997-10-26,8,22.286,STL,,KAN,L 20-28,0,0,,0,7,160,22.86,0,0,0
4,1997,1997-11-02,9,22.293,STL,@,ATL,L 31-34,0,0,,0,3,45,15.00,0,0,0
5,1997,1997-11-09,10,22.300,STL,@,GNB,L 7-17,0,0,,0,4,99,24.75,0,0,0
6,1997,1997-11-16,11,22.307,STL,,ATL,L 21-27,0,0,,0,5,117,23.40,0,0,0
7,1997,1997-11-23,12,22.314,STL,,CAR,L 10-16,0,0,,0,4,70,17.50,0,0,0
8,1997,1997-11-30,13,22.321,STL,@,WAS,W 23-20,2,-4,-2.00,0,5,125,25.00,0,0,0
9,1997,1997-12-07,14,22.328,STL,@,NOR,W 34-27,9,18,2.00,0,6,162,27.00,0,0,0
10,1997,1997-12-14,15,22.335,STL,,CHI,L 10-13,2,5,2.50,0,4,121,30.25,0,0,0
11,1997,1997-12-20,16,22.341,STL,@,CAR,W 30-18,3,11,3.67,1,2,45,22.50,0,1,6
12,1998,1998-11-08,9,23.299,STL,@,CHI,W 20-12,,,,,,,,,,
