ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2013,2013-09-29,4,23.125,CHI,@,DET,L 32-40,,0,0,,0,0.0,0,0
2,2013,2013-10-06,5,23.132,CHI,,NOR,L 18-26,,0,0,,0,0.0,1,0
3,2013,2013-10-10,6,23.136,CHI,,NYG,W 27-21,,,,,,,,
4,2013,2013-11-04,8,23.161,CHI,@,GNB,W 27-20,,,,,,,,
5,2013,2013-11-10,9,23.167,CHI,,DET,L 19-21,,,,,,,,
6,2013,2013-11-17,10,23.174,CHI,,BAL,W 23-20,,1,0,0.00,0,0.0,1,0
7,2013,2013-11-24,11,23.181,CHI,@,STL,L 21-42,,,,,,,,
8,2013,2013-12-01,12,23.188,CHI,@,MIN,L 20-23,,1,9,9.00,0,0.0,1,0
9,2013,2013-12-09,13,23.196,CHI,,DAL,W 45-28,,1,10,10.00,0,0.0,1,0
10,2013,2013-12-15,14,23.202,CHI,@,CLE,W 38-31,,,,,,,,
11,2013,2013-12-22,15,23.209,CHI,@,PHI,L 11-54,,1,7,7.00,0,0.0,0,0
12,2013,2013-12-29,16,23.216,CHI,,GNB,L 28-33,,1,11,11.00,0,0.0,0,0
