ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1986,1986-09-07,1,21.342,ATL,@,NOR,W 31-10,1,3,3.00,0,1,7,7.00,0,1,15,15.00,0,0,0
2,1986,1986-09-14,2,21.349,ATL,,STL,W 33-13,0,0,,0,0,0,,0,2,50,25.00,0,0,0
3,1986,1986-09-21,3,21.356,ATL,@,DAL,W 37-35,1,12,12.00,0,0,0,,0,1,23,23.00,0,0,0
4,1986,1986-09-28,4,21.363,ATL,@,TAM,W 23-20,1,7,7.00,0,0,0,,0,0,0,,0,0,0
5,1986,1986-10-05,5,22.005,ATL,,PHI,L 0-16,0,0,,0,0,0,,0,1,15,15.00,0,0,0
6,1986,1986-10-12,6,22.012,ATL,,RAM,W 26-14,0,0,,0,0,0,,0,1,18,18.00,0,0,0
7,1986,1986-10-19,7,22.019,ATL,,SFO,T 10-10,0,0,,0,0,0,,0,0,0,,0,0,
8,1986,1986-10-26,8,22.026,ATL,@,RAM,L 7-14,0,0,,0,0,0,,0,2,30,15.00,0,0,0
9,1986,1986-11-30,13,22.061,ATL,@,MIA,W 20-14,1,30,30.00,0,0,0,,0,1,24,24.00,0,0,0
10,1986,1986-12-07,14,22.068,ATL,,IND,L 23-28,2,37,18.50,1,1,8,8.00,0,2,31,15.50,0,1,6
11,1986,1986-12-14,15,22.075,ATL,,NOR,L 9-14,6,75,12.50,0,0,0,,0,2,27,13.50,0,0,0
12,1986,1986-12-21,16,22.082,ATL,@,DET,W 20-6,0,0,,0,1,3,3.00,0,1,22,22.00,0,0,0
