ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1994,1994-09-04,1,24.105,IND,,HOU,W 45-21,1,27,27.00,0,2,31,15.50,0,0,0
2,1994,1994-09-11,2,24.112,IND,@,TAM,L 10-24,2,35,17.50,0,3,6,2.00,0,0,0
3,1994,1994-09-18,3,24.119,IND,@,PIT,L 21-31,2,55,27.50,0,2,7,3.50,0,0,0
4,1994,1994-09-25,4,24.126,IND,,CLE,L 14-21,1,18,18.00,0,3,5,1.67,0,0,0
5,1994,1994-10-02,5,24.133,IND,,SEA,W 17-15,2,26,13.00,0,3,14,4.67,0,0,0
6,1994,1994-10-09,6,24.140,IND,@,NYJ,L 6-16,1,15,15.00,0,2,20,10.00,0,0,0
7,1994,1994-10-16,7,24.147,IND,@,BUF,W 27-17,1,19,19.00,0,1,18,18.00,0,0,0
8,1994,1994-10-23,8,24.154,IND,,WAS,L 27-41,0,0,,0,4,15,3.75,0,0,0
9,1994,1994-10-30,9,24.161,IND,,NYJ,W 28-25,0,0,,0,4,54,13.50,0,0,0
10,1994,1994-11-06,10,24.168,IND,@,MIA,L 21-22,1,15,15.00,0,0,0,,0,0,0
11,1994,1994-11-20,11,24.182,IND,@,CIN,W 17-13,2,44,22.00,0,3,22,7.33,0,0,0
12,1994,1994-11-27,12,24.189,IND,,NWE,L 10-12,0,0,,0,2,13,6.50,0,0,0
13,1994,1994-12-04,13,24.196,IND,@,SEA,W 31-19,1,21,21.00,0,5,5,1.00,0,0,0
14,1994,1994-12-11,14,24.203,IND,@,NWE,L 13-28,2,37,18.50,0,2,17,8.50,0,0,0
15,1994,1994-12-18,15,24.210,IND,,MIA,W 10-6,0,0,,0,4,107,26.75,1,1,6
16,1994,1994-12-24,16,24.216,IND,,BUF,W 10-9,2,46,23.00,0,2,5,2.50,0,0,0
