ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1960,1960-10-23,6,21.064,DEN,,BOS,W 31-24,3,3,1.00,0,0,0,,0,0,0,,0,0,0
2,1960,1960-10-30,7,21.071,DEN,,DTX,L 14-17,4,0,0.00,0,1,17,17.00,0,0,0,,0,0,0
3,1960,1960-11-06,8,21.078,DEN,,HOU,L 25-45,1,0,0.00,0,0,0,,0,0,0,,0,0,0
4,1960,1960-11-13,9,21.085,DEN,@,DTX,L 7-34,1,0,0.00,0,1,4,4.00,0,1,17,17.00,0,0,0
5,1960,1960-11-20,10,21.092,DEN,@,HOU,L 10-20,9,8,0.89,0,1,11,11.00,0,2,27,13.50,0,0,0
6,1960,1960-11-27,11,21.099,DEN,,BUF,T 38-38,6,-1,-0.17,1,0,0,,0,0,0,,0,1,6
7,1960,1960-12-04,12,21.106,DEN,,NYT,L 27-30,5,3,0.60,0,2,2,1.00,0,0,0,,0,0,0
8,1960,1960-12-10,13,21.112,DEN,@,LAC,L 33-41,1,5,5.00,0,0,0,,0,1,13,13.00,0,0,0
9,1960,1960-12-17,14,21.119,DEN,@,OAK,L 10-48,0,0,,0,0,0,,0,1,15,15.00,0,0,0
