ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,2005,2005-10-10,5,26.055,SDG,,PIT,L 22-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
2,2006,2006-11-23,11,27.099,MIA,@,DET,W 27-10,,0,0,,0,0,0,,0,,,,1,-2,-2.00,0,0,0
3,2006,2006-12-17,14,27.123,MIA,@,BUF,L 0-21,,9,16,56.25,98,0,0,74.5,1,9,6.13,6.13,0,0,,0,0,0
4,2006,2006-12-25,15,27.131,MIA,,NYJ,L 10-13,,11,16,68.75,104,1,0,107.3,2,9,6.50,7.75,0,0,,0,0,0
5,2006,2006-12-31,16,27.137,MIA,@,IND,L 22-27,*,18,36,50.00,210,1,1,65.7,2,6,5.83,5.14,2,9,4.50,0,0,0
6,2007,2007-10-07,5,28.052,MIA,@,HOU,L 19-22,,15,27,55.56,151,0,1,56.3,1,8,5.59,3.93,0,0,,0,0,0
7,2007,2007-10-14,6,28.059,MIA,@,CLE,L 31-41,*,24,43,55.81,256,2,2,69.5,2,10,5.95,4.79,4,9,2.25,2,2,12
8,2007,2007-10-21,7,28.066,MIA,,NWE,L 28-49,*,24,37,64.86,236,0,1,71.5,3,33,6.38,5.16,3,16,5.33,1,1,6
9,2007,2007-10-28,8,28.073,MIA,,NYG,L 10-13,*,17,30,56.67,149,1,0,81.1,3,30,4.97,5.63,5,28,5.60,0,0,0
10,2007,2007-11-11,9,28.087,MIA,,BUF,L 10-13,*,16,29,55.17,131,0,0,66.9,1,5,4.52,4.52,6,17,2.83,1,1,6
11,2007,2007-12-09,13,28.115,MIA,@,BUF,L 17-38,,22,42,52.38,241,0,2,49.8,2,7,5.74,3.60,4,4,1.00,0,0,0
12,2007,2007-12-16,14,28.122,MIA,,BAL,W 22-16,*,23,39,58.97,315,1,0,93.4,5,27,8.08,8.59,3,12,4.00,0,0,0
13,2007,2007-12-23,15,28.129,MIA,@,NWE,L 7-28,*,18,41,43.90,171,1,0,64.2,7,38,4.17,4.66,3,9,3.00,0,0,0
14,2007,2007-12-30,16,28.136,MIA,,CIN,L 25-38,*,14,21,66.67,123,1,0,97.9,1,8,5.86,6.81,3,7,2.33,0,0,0
15,2008,2008-11-09,9,29.085,JAX,@,DET,W 38-14,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,2,-3,-1.50,0,0,0
16,2008,2008-12-07,13,29.113,JAX,@,CHI,L 10-23,,,,,,,,,0,,,,,,,,,
