ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2017,2017-09-11,1,22.117,LAC,@,DEN,L 21-24,,0,0,,0,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0
2,2017,2017-09-17,2,22.123,LAC,,MIA,L 17-19,,0,0,,0,0,0,0,,0,0.0%,,3,49,16.33,0,0,0
3,2017,2017-09-24,3,22.130,LAC,,KAN,L 10-24,,0,0,,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0
4,2017,2017-10-01,4,22.137,LAC,,PHI,L 24-26,,1,35,35.00,1,2,2,23,11.50,0,100.0%,11.50,0,0,,0,1,6
5,2017,2017-10-08,5,22.144,LAC,@,NYG,W 27-22,,4,0,0.00,0,6,3,28,9.33,0,50.0%,4.67,0,0,,0,0,0
6,2017,2017-10-15,6,22.151,LAC,@,OAK,W 17-16,,1,1,1.00,0,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0
7,2017,2017-10-22,7,22.158,LAC,,DEN,W 21-0,,7,38,5.43,0,4,4,6,1.50,1,100.0%,1.50,0,0,,0,1,6
8,2017,2017-10-29,8,22.165,LAC,@,NWE,L 13-21,,2,8,4.00,0,1,1,13,13.00,0,100.0%,13.00,2,36,18.00,0,0,0
9,2017,2017-11-12,9,22.179,LAC,@,JAX,L 17-20,,10,42,4.20,0,5,5,77,15.40,2,100.0%,15.40,0,0,,0,2,12
10,2017,2017-11-19,10,22.186,LAC,,BUF,W 54-24,,6,40,6.67,1,2,2,18,9.00,0,100.0%,9.00,0,0,,0,1,6
11,2017,2017-11-23,11,22.190,LAC,@,DAL,W 28-6,,6,15,2.50,0,3,3,55,18.33,0,100.0%,18.33,0,0,,0,0,0
12,2017,2017-12-03,12,22.200,LAC,,CLE,W 19-10,,4,19,4.75,0,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0
13,2017,2017-12-10,13,22.207,LAC,,WAS,W 30-13,,4,49,12.25,0,3,0,0,,0,0.0%,0.00,0,0,,0,0,0
14,2017,2017-12-16,14,22.213,LAC,@,KAN,L 13-30,,2,13,6.50,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0
15,2017,2017-12-24,15,22.221,LAC,@,NYJ,W 14-7,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0
16,2017,2017-12-31,16,22.228,LAC,,OAK,W 30-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0
17,2018,2018-09-09,1,23.115,LAC,,KAN,L 28-38,,5,39,7.80,0,5,5,87,17.40,1,100.0%,17.40,0,0,,0,1,6
18,2018,2018-09-16,2,23.122,LAC,@,BUF,W 31-20,,11,77,7.00,0,3,3,21,7.00,0,100.0%,7.00,0,0,,0,0,0
19,2018,2018-09-23,3,23.129,LAC,@,LAR,L 23-35,,4,47,11.75,0,3,3,24,8.00,0,100.0%,8.00,0,0,,0,0,0
