ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1979,1979-09-23,4,22.106,HOU,@,CIN,W 30-27,0,0,,0,6,120,20.00,0,3,26,8.67,0
2,1979,1979-09-30,5,22.113,HOU,,CLE,W 31-10,0,0,,0,0,0,,0,3,33,11.00,0
3,1979,1979-10-07,6,22.120,HOU,,STL,L 17-24,0,0,,0,0,0,,0,1,2,2.00,0
4,1979,1979-10-14,7,22.127,HOU,@,BAL,W 28-16,0,0,,0,0,0,,0,1,3,3.00,0
5,1979,1979-10-21,8,22.134,HOU,@,SEA,L 14-34,0,0,,0,5,114,22.80,0,3,26,8.67,0
6,1979,1979-10-28,9,22.141,HOU,,NYJ,W 27-24,0,0,,0,1,23,23.00,0,4,45,11.25,0
7,1979,1979-11-05,10,22.149,HOU,@,MIA,W 9-6,0,0,,0,1,27,27.00,0,2,11,5.50,0
8,1979,1979-11-11,11,22.155,HOU,,OAK,W 31-17,0,0,,0,2,38,19.00,0,3,28,9.33,0
9,1979,1979-11-18,12,22.162,HOU,,CIN,W 42-21,1,15,15.00,0,2,44,22.00,0,3,3,1.00,0
10,1979,1979-11-22,13,22.166,HOU,@,DAL,W 30-24,0,0,,0,1,18,18.00,0,1,7,7.00,0
11,1979,1979-12-02,14,22.176,HOU,@,CLE,L 7-14,0,0,,0,0,0,,0,2,0,0.00,0
12,1979,1979-12-10,15,22.184,HOU,,PIT,W 20-17,0,0,,0,0,0,,0,2,6,3.00,0
13,1979,1979-12-16,16,22.190,HOU,,PHI,L 20-26,0,0,,0,6,130,21.67,0,3,13,4.33,0
