ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1983,1983-09-04,1,24.204,PIT,,DEN,L 10-14,0,0,,0,2,60,30.00,0
2,1983,1983-09-11,2,24.211,PIT,@,GNB,W 25-21,0,0,,0,3,53,17.67,0
3,1983,1983-09-18,3,24.218,PIT,@,HOU,W 40-28,1,4,4.00,0,2,37,18.50,0
4,1983,1983-09-25,4,24.225,PIT,,NWE,L 23-28,0,0,,0,3,46,15.33,0
5,1983,1983-10-02,5,24.232,PIT,,HOU,W 17-10,0,0,,0,1,24,24.00,0
6,1983,1983-10-10,6,24.240,PIT,@,CIN,W 24-14,0,0,,0,1,16,16.00,0
7,1983,1983-10-16,7,24.246,PIT,,CLE,W 44-17,0,0,,0,4,80,20.00,0
8,1983,1983-10-23,8,24.253,PIT,@,SEA,W 27-21,0,0,,0,1,15,15.00,0
9,1983,1983-10-30,9,24.260,PIT,,TAM,W 17-12,0,0,,0,4,83,20.75,0
10,1983,1983-11-06,10,24.267,PIT,,SDG,W 26-3,0,0,,0,0,0,,0
11,1983,1983-11-13,11,24.274,PIT,@,BAL,W 24-13,0,0,,0,2,41,20.50,0
12,1983,1983-11-20,12,24.281,PIT,,MIN,L 14-17,0,0,,0,4,95,23.75,0
13,1983,1983-11-24,13,24.285,PIT,@,DET,L 3-45,1,3,3.00,0,4,67,16.75,0
14,1983,1983-12-04,14,24.295,PIT,,CIN,L 10-23,0,0,,0,3,55,18.33,0
15,1983,1983-12-10,15,24.301,PIT,@,NYJ,W 34-7,0,0,,0,1,11,11.00,0
16,1983,1983-12-18,16,24.309,PIT,@,CLE,L 17-30,0,0,,0,4,73,18.25,0
