ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1983,1983-09-18,3,22.209,DAL,,NYG,W 28-13,0,0,,0,1,17,17.00,0
2,1984,1984-09-09,2,23.201,DAL,@,NYG,L 7-28,,,,,0,0,,0
3,1984,1984-09-16,3,23.208,DAL,,PHI,W 23-17,,,,,0,0,,0
4,1984,1984-09-23,4,23.215,DAL,,GNB,W 20-6,,,,,0,0,,0
5,1984,1984-09-30,5,23.222,DAL,@,CHI,W 23-14,,,,,0,0,,0
6,1984,1984-10-07,6,23.229,DAL,,STL,L 20-31,0,0,,0,5,102,20.40,0
7,1984,1984-10-14,7,23.236,DAL,@,WAS,L 14-34,,,,,0,0,,0
8,1984,1984-10-21,8,23.243,DAL,,NOR,W 30-27,0,0,,0,3,64,21.33,0
9,1984,1984-10-28,9,23.250,DAL,,IND,W 22-3,,,,,0,0,,0
10,1984,1984-11-04,10,23.257,DAL,,NYG,L 7-19,0,0,,0,4,101,25.25,0
11,1984,1984-11-11,11,23.264,DAL,@,STL,W 24-17,0,0,,0,2,29,14.50,0
12,1984,1984-11-18,12,23.271,DAL,@,BUF,L 3-14,,,,,0,0,,0
13,1984,1984-11-22,13,23.275,DAL,,NWE,W 20-17,,,,,0,0,,0
14,1984,1984-12-02,14,23.285,DAL,@,PHI,W 26-10,0,0,,0,2,24,12.00,0
15,1984,1984-12-09,15,23.292,DAL,,WAS,L 28-30,0,0,,0,3,63,21.00,0
16,1984,1984-12-17,16,23.300,DAL,@,MIA,L 21-28,0,0,,0,1,20,20.00,0
17,1987,1987-10-04,3,26.225,NWE,,CLE,L 10-20,7,20,2.86,0,2,32,16.00,0
18,1987,1987-10-11,4,26.232,NWE,,BUF,W 14-7,2,3,1.50,0,0,0,,0
19,1987,1987-10-18,5,26.239,NWE,@,HOU,W 21-7,0,0,,0,0,0,,0
