ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1994,1994-10-02,5,23.165,BUF,@,CHI,L 13-20,0,0,,0,0,0,0,,0,0.0%,,2,32,16.00,0,0,0,,0
2,1994,1994-11-06,9,23.200,BUF,@,NYJ,L 17-22,0,0,,0,0,0,0,,0,0.0%,,3,97,32.33,0,0,0,,0
3,1994,1994-11-14,10,23.208,BUF,@,PIT,L 10-23,4,16,4.00,0,2,2,5,2.50,0,100.0%,2.50,4,91,22.75,0,0,0,,0
4,1994,1994-11-20,11,23.214,BUF,,GNB,W 29-20,0,0,,0,0,0,0,,0,0.0%,,1,15,15.00,0,0,0,,0
5,1994,1994-11-24,12,23.218,BUF,@,DET,L 21-35,3,24,8.00,0,3,3,28,9.33,0,100.0%,9.33,3,88,29.33,0,0,0,,0
6,1994,1994-12-04,13,23.228,BUF,@,MIA,W 42-31,0,0,,0,0,0,0,,0,0.0%,,3,44,14.67,0,0,0,,0
7,1994,1994-12-11,14,23.235,BUF,,MIN,L 17-21,0,0,,0,0,0,0,,0,0.0%,,6,128,21.33,0,0,0,,0
8,1994,1994-12-18,15,23.242,BUF,,NWE,L 17-41,2,6,3.00,0,3,3,7,2.33,0,100.0%,2.33,3,67,22.33,0,0,0,,0
9,1994,1994-12-24,16,23.248,BUF,@,IND,L 9-10,8,10,1.25,0,2,2,16,8.00,0,100.0%,8.00,2,39,19.50,0,0,0,,0
10,1995,1995-09-03,1,24.136,BUF,@,DEN,L 7-22,0,0,,0,0,0,0,,0,0.0%,,5,91,18.20,0,0,0,,0
11,1995,1995-09-10,2,24.143,BUF,,CAR,W 31-9,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0
12,1995,1995-10-29,8,24.192,BUF,@,MIA,L 6-23,0,0,,0,0,0,0,,0,0.0%,,6,98,16.33,0,0,0,,0
13,1995,1995-11-05,9,24.199,BUF,@,IND,W 16-10,0,0,,0,0,0,0,,0,0.0%,,3,50,16.67,0,0,0,,0
14,1995,1995-11-12,10,24.206,BUF,,ATL,W 23-17,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0
15,1995,1995-11-19,11,24.213,BUF,@,NYJ,W 28-26,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0
16,1995,1995-12-10,14,24.234,BUF,@,STL,W 45-27,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0
17,1995,1995-12-24,16,24.248,BUF,,HOU,L 17-28,8,31,3.88,0,1,1,7,7.00,0,100.0%,7.00,5,109,21.80,0,1,0,0.00,0
