ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1965,1965-10-03,3,22.332,WAS,@,DET,L 10-14,0,0,,0,2,22,11.00,0,0,0
2,1965,1965-10-10,4,22.339,WAS,,STL,L 16-37,1,29,29.00,1,1,44,44.00,0,1,6
3,1965,1965-10-17,5,22.346,WAS,,BAL,L 7-38,0,0,,0,1,32,32.00,0,0,0
4,1965,1965-10-31,7,22.360,WAS,,PHI,W 23-21,0,0,,0,2,57,28.50,0,0,0
5,1965,1965-11-07,8,23.002,WAS,@,NYG,W 23-7,0,0,,0,1,17,17.00,0,0,0
6,1965,1965-11-14,9,23.009,WAS,@,PHI,L 14-21,0,0,,0,3,69,23.00,0,0,0
7,1965,1965-11-21,10,23.016,WAS,@,PIT,W 31-3,0,0,,0,1,50,50.00,0,0,0
8,1965,1965-11-28,11,23.023,WAS,,DAL,W 34-31,0,0,,0,4,60,15.00,0,0,0
9,1965,1965-12-05,12,23.030,WAS,@,CLE,L 16-24,0,0,,0,1,30,30.00,0,0,0
10,1965,1965-12-12,13,23.037,WAS,,NYG,L 10-27,0,0,,0,2,51,25.50,0,0,0
11,1966,1966-09-18,3,23.317,MIA,@,BUF,L 24-58,0,0,,0,2,34,17.00,0,0,0
12,1966,1966-10-02,4,23.331,MIA,@,SDG,L 10-44,0,0,,0,2,34,17.00,0,0,0
13,1966,1966-10-09,5,23.338,MIA,@,OAK,L 10-21,0,0,,0,1,16,16.00,0,0,0
