ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1983,1983-09-04,1,23.205,KAN,,SEA,W 17-13,0,0,,0,0,0,,0,0,0,,0,0,
2,1983,1983-09-12,2,23.213,KAN,,SDG,L 14-17,1,-4,-4.00,0,0,0,,0,0,0,,0,0,0
3,1983,1983-09-18,3,23.219,KAN,@,WAS,L 12-27,1,11,11.00,0,0,0,,0,1,6,6.00,0,0,0
4,1983,1983-09-25,4,23.226,KAN,@,MIA,L 6-14,1,4,4.00,0,0,0,,0,0,0,,0,0,0
5,1983,1983-10-02,5,23.233,KAN,,STL,W 38-14,2,14,7.00,0,1,-1,-1.00,0,0,0,,0,0,0
6,1983,1983-10-09,6,23.240,KAN,@,RAI,L 20-21,0,0,,0,0,0,,0,0,0,,0,0,
7,1983,1983-10-16,7,23.247,KAN,,NYG,W 38-17,3,19,6.33,0,0,0,,0,0,0,,0,0,0
8,1983,1983-10-23,8,23.254,KAN,@,HOU,W 13-10,0,0,,0,1,11,11.00,0,0,0,,0,0,0
9,1983,1983-10-30,9,23.261,KAN,@,DEN,L 24-27,4,66,16.50,0,0,0,,0,0,0,,0,0,0
10,1983,1983-11-06,10,23.268,KAN,,RAI,L 20-28,3,5,1.67,1,0,0,,0,0,0,,0,1,6
11,1983,1983-11-13,11,23.275,KAN,,CIN,W 20-15,2,2,1.00,0,0,0,,0,0,0,,0,0,0
12,1983,1983-11-20,12,23.282,KAN,@,DAL,L 21-41,2,37,18.50,0,4,-1,-0.25,0,0,0,,0,0,0
13,1983,1983-11-27,13,23.289,KAN,@,SEA,L 48-51,3,22,7.33,0,8,44,5.50,0,0,0,,0,0,0
14,1983,1983-12-04,14,23.296,KAN,,BUF,L 9-14,6,60,10.00,0,1,2,2.00,0,0,0,,0,0,0
