ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1966,1966-09-02,1,23.096,MIA,,OAK,L 14-23,,0,0,,0,0,0,,0,0,,,1,37,37.00,0,5,177,35.40,0
2,1966,1966-09-09,2,23.103,MIA,,NYJ,L 14-19,,0,0,,0,0,0,,0,0,,,1,5,5.00,0,10,483,48.30,0
3,1966,1966-09-18,3,23.112,MIA,@,BUF,L 24-58,,10,30,33.33,185,3,1,75.0,0,0,6.17,6.67,3,10,3.33,0,6,265,44.17,0
4,1966,1966-10-02,4,23.126,MIA,@,SDG,L 10-44,*,2,5,40.00,12,0,0,47.9,0,0,2.40,2.40,2,12,6.00,0,0,0,,0
5,1966,1966-10-09,5,23.133,MIA,@,OAK,L 10-21,*,11,19,57.89,142,0,0,81.5,0,0,7.47,7.47,8,-3,-0.38,0,0,0,,0
6,1966,1966-10-16,6,23.140,MIA,,DEN,W 24-7,*,9,18,50.00,176,1,1,79.9,0,0,9.78,8.39,3,21,7.00,0,0,0,,0
7,1966,1966-10-23,7,23.147,MIA,@,HOU,W 20-13,*,4,4,100.00,88,1,0,158.3,0,0,22.00,27.00,2,13,6.50,0,0,0,,0
8,1966,1966-11-06,8,23.161,MIA,,BUF,L 0-29,*,3,13,23.08,28,0,3,0.0,0,0,2.15,-8.23,2,2,1.00,0,0,0,,0
9,1966,1966-11-13,9,23.168,MIA,@,KAN,L 16-34,*,4,14,28.57,55,0,4,3.9,0,0,3.93,-8.93,1,2,2.00,0,0,0,,0
10,1966,1966-11-20,10,23.175,MIA,@,NYJ,L 13-30,*,3,9,33.33,78,0,1,26.4,0,0,8.67,3.67,2,-3,-1.50,0,0,0,,0
11,1966,1966-11-27,11,23.182,MIA,,BOS,L 14-20,,0,0,,0,0,0,,0,0,,,0,0,,0,7,283,40.43,0
12,1966,1966-12-04,12,23.189,MIA,@,DEN,L 7-17,,0,0,,0,0,0,,0,0,,,1,25,25.00,0,6,241,40.17,0
13,1966,1966-12-11,13,23.196,MIA,,KAN,L 18-19,,0,0,,0,0,0,,0,0,,,0,0,,0,5,192,38.40,0
14,1966,1966-12-18,14,23.203,MIA,,HOU,W 29-28,,0,0,,0,0,0,,0,0,,,1,16,16.00,0,3,131,43.67,0
