ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2012,2012-09-30,4,24.205,ARI,,MIA,W 24-21,,2,2,1.00,0,2,2,6,3.00,0,100.0%,3.00,3,90,30.00,0
2,2012,2012-10-04,5,24.209,ARI,@,STL,L 3-17,,1,7,7.00,0,4,3,20,6.67,0,75.0%,5.00,0,0,,0
3,2012,2012-10-14,6,24.219,ARI,,BUF,L 16-19,,13,70,5.38,0,1,1,8,8.00,0,100.0%,8.00,2,49,24.50,0
4,2012,2012-10-21,7,24.226,ARI,@,MIN,L 14-21,,4,13,3.25,0,1,1,5,5.00,0,100.0%,5.00,1,13,13.00,0
5,2012,2012-10-29,8,24.234,ARI,,SFO,L 3-24,,,,,,,,,,,0.0%,,,,,
6,2012,2012-11-04,9,24.240,ARI,@,GNB,L 17-31,,1,3,3.00,0,0,0,0,,0,0.0%,,3,61,20.33,0
7,2012,2012-11-18,10,24.254,ARI,@,ATL,L 19-23,,4,10,2.50,0,0,0,0,,0,0.0%,,4,125,31.25,0
8,2012,2012-11-25,11,24.261,ARI,,STL,L 17-31,,3,11,3.67,0,9,6,63,10.50,0,66.7%,7.00,3,68,22.67,0
9,2012,2012-12-02,12,24.268,ARI,@,NYJ,L 6-7,,4,18,4.50,0,0,0,0,,0,0.0%,,2,39,19.50,0
10,2012,2012-12-09,13,24.275,ARI,@,SEA,L 0-58,,5,20,4.00,0,3,2,13,6.50,0,66.7%,4.33,3,62,20.67,0
11,2012,2012-12-16,14,24.282,ARI,,DET,W 38-10,,5,4,0.80,0,0,0,0,,0,0.0%,,0,0,,0
12,2012,2012-12-23,15,24.289,ARI,,CHI,L 13-28,,4,7,1.75,0,4,3,21,7.00,0,75.0%,5.25,0,0,,0
13,2012,2012-12-30,16,24.296,ARI,@,SFO,L 13-27,*,14,52,3.71,0,1,1,-4,-4.00,0,100.0%,-4.00,0,0,,0
