ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1971,1971-09-19,1,22.123,NOR,,RAM,W 24-20,*,16,29,55.17,218,1,1,76.5,0,0,7.52,6.66,4,14,3.50,1,0,0,,0,1,6
2,1971,1971-09-26,2,22.130,NOR,,SFO,L 20-38,*,8,14,57.14,155,2,0,135.4,0,0,11.07,13.93,3,7,2.33,0,0,0,,0,0,0
3,1971,1971-10-03,3,22.137,NOR,@,HOU,T 13-13,*,8,20,40.00,112,1,2,35.8,0,0,5.60,2.10,4,17,4.25,0,0,0,,0,0,0
4,1971,1971-10-10,4,22.144,NOR,@,CHI,L 14-35,*,2,8,25.00,45,0,1,10.9,0,0,5.63,0.00,3,17,5.67,0,0,0,,0,0,0
5,1971,1971-10-17,5,22.151,NOR,,DAL,W 24-14,*,6,15,40.00,83,1,1,52.9,0,0,5.53,3.87,7,52,7.43,2,0,0,,0,2,12
6,1971,1971-10-24,6,22.158,NOR,@,ATL,L 6-28,*,12,30,40.00,138,0,2,26.8,0,0,4.60,1.60,1,2,2.00,0,0,0,,0,0,0
7,1971,1971-10-31,7,22.165,NOR,@,WAS,L 14-24,*,3,6,50.00,29,0,0,63.9,0,0,4.83,4.83,1,-2,-2.00,0,0,0,,0,0,0
8,1971,1971-11-07,8,22.172,NOR,,OAK,T 21-21,*,0,2,0.00,0,0,1,0.0,0,0,0.00,-22.50,4,33,8.25,0,0,0,,0,0,0
9,1971,1971-11-21,10,22.186,NOR,,MIN,L 10-23,,5,9,55.56,81,1,1,83.3,0,0,9.00,6.22,0,0,,0,0,0,,0,0,0
10,1971,1971-11-28,11,22.193,NOR,@,GNB,W 29-21,*,3,7,42.86,38,0,0,60.4,0,0,5.43,5.43,2,8,4.00,0,0,0,,0,0,0
11,1971,1971-12-12,13,22.207,NOR,,CLE,L 17-21,,6,11,54.55,91,0,0,82.0,0,0,8.27,8.27,1,-4,-4.00,0,1,-7,-7.00,0,0,0
12,1971,1971-12-19,14,22.214,NOR,,ATL,L 20-24,*,17,26,65.38,174,0,0,84.5,0,0,6.69,6.69,3,28,9.33,1,0,0,,0,1,6
13,1972,1972-09-17,1,23.121,NOR,@,RAM,L 14-34,*,21,46,45.65,249,2,1,68.1,0,0,5.41,5.30,2,22,11.00,0,0,0,,0,0,0
14,1972,1972-09-25,2,23.129,NOR,,KAN,L 17-20,*,10,24,41.67,115,1,0,70.7,0,0,4.79,5.63,2,-10,-5.00,0,0,0,,0,0,0
15,1972,1972-10-01,3,23.135,NOR,,SFO,L 2-37,*,13,35,37.14,128,0,4,8.7,0,0,3.66,-1.49,1,11,11.00,0,0,0,,0,0,0
16,1972,1972-10-08,4,23.142,NOR,@,NYG,L 21-45,*,18,31,58.06,276,3,4,80.2,0,0,8.90,5.03,2,18,9.00,0,0,0,,0,0,0
17,1972,1972-10-15,5,23.149,NOR,,ATL,L 14-21,*,6,18,33.33,51,0,0,42.4,0,0,2.83,2.83,9,45,5.00,1,0,0,,0,1,6
18,1972,1972-10-22,6,23.156,NOR,@,SFO,T 20-20,*,17,27,62.96,287,2,1,108.1,0,0,10.63,10.44,11,48,4.36,0,0,0,,0,0,0
19,1972,1972-10-29,7,23.163,NOR,,PHI,W 21-3,*,20,35,57.14,295,2,1,92.0,0,0,8.43,8.29,6,31,5.17,0,0,0,,0,0,0
20,1972,1972-11-05,8,23.170,NOR,@,MIN,L 6-37,*,19,35,54.29,155,0,3,30.1,0,0,4.43,0.57,9,73,8.11,0,0,0,,0,0,0
21,1972,1972-11-12,9,23.177,NOR,@,ATL,L 20-36,*,13,31,41.94,173,1,0,71.0,0,0,5.58,6.23,4,34,8.50,0,0,0,,0,0,0
22,1972,1972-11-19,10,23.184,NOR,@,DET,L 14-27,*,20,30,66.67,250,2,2,86.8,0,0,8.33,6.67,3,19,6.33,0,0,0,,0,0,0
23,1972,1972-11-26,11,23.191,NOR,,RAM,W 19-16,*,15,29,51.72,202,1,0,85.7,0,0,6.97,7.66,4,25,6.25,1,0,0,,0,1,6
24,1972,1972-12-03,12,23.198,NOR,@,NYJ,L 17-18,*,20,31,64.52,204,1,1,80.6,0,0,6.58,5.77,6,18,3.00,0,0,0,,0,0,0
25,1972,1972-12-10,13,23.205,NOR,,NWE,L 10-17,*,24,52,46.15,254,1,3,43.3,0,0,4.88,2.67,2,10,5.00,0,0,0,,0,0,0
