ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1973,1973-09-16,1,22.248,STL,@,PHI,W 34-23,,0,0,,0,0,0,,0,0,,,0,0,,0,2,76,38.00,0
2,1973,1973-09-23,2,22.255,STL,,WAS,W 34-27,,0,0,,0,0,0,,0,0,,,0,0,,0,6,207,34.50,0
3,1973,1973-09-30,3,22.262,STL,@,DAL,L 10-45,,4,4,100.00,52,0,0,118.7,0,0,13.00,13.00,1,3,3.00,0,7,272,38.86,0
4,1973,1973-10-07,4,22.269,STL,,OAK,L 10-17,,0,0,,0,0,0,,0,0,,,0,0,,0,6,229,38.17,0
5,1973,1973-10-14,5,22.276,STL,,PHI,L 24-27,,0,0,,0,0,0,,0,0,,,0,0,,0,6,226,37.67,0
6,1973,1973-10-21,6,22.283,STL,@,WAS,L 13-31,,0,0,,0,0,0,,0,0,,,0,0,,0,11,447,40.64,0
7,1973,1973-10-28,7,22.290,STL,,NYG,W 35-27,,0,0,,0,0,0,,0,0,,,0,0,,0,3,105,35.00,0
8,1973,1973-11-04,8,22.297,STL,,DEN,T 17-17,,0,0,,0,0,0,,0,0,,,0,0,,0,5,178,35.60,0
9,1973,1973-11-11,9,22.304,STL,@,GNB,L 21-25,,0,0,,0,0,0,,0,0,,,0,0,,0,3,61,20.33,1
10,1973,1973-11-18,10,22.311,STL,@,NYG,L 13-24,,16,30,53.33,228,1,1,75.4,0,0,7.60,6.77,2,0,0.00,0,3,126,42.00,0
11,1973,1973-11-25,11,22.318,STL,@,CIN,L 24-42,,0,0,,0,0,0,,0,0,,,0,0,,0,3,110,36.67,0
12,1973,1973-12-02,12,22.325,STL,,DET,L 16-20,,4,9,44.44,50,0,1,22.7,0,0,5.56,0.56,1,3,3.00,0,2,81,40.50,0
13,1973,1973-12-09,13,22.332,STL,@,ATL,W 32-10,*,2,10,20.00,9,0,1,0.0,0,0,0.90,-3.60,1,0,0.00,0,4,160,40.00,0
14,1973,1973-12-16,14,22.339,STL,,DAL,L 3-30,*,6,20,30.00,30,0,2,0.0,0,0,1.50,-3.00,3,23,7.67,0,5,200,40.00,0
