ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2009,2009-09-20,2,25.089,WAS,,STL,W 9-7,,3,5,1.67,0,0,0,0,,0,0.0%,,0,0,,0
2,2009,2009-10-04,4,25.103,WAS,,TAM,W 16-13,,2,8,4.00,0,0,0,0,,0,0.0%,,0,0,,0
3,2009,2009-10-11,5,25.110,WAS,@,CAR,L 17-20,,1,6,6.00,0,0,0,0,,0,0.0%,,0,0,,0
4,2009,2009-10-18,6,25.117,WAS,,KAN,L 6-14,,,,,,,,,,,0.0%,,,,,
5,2009,2009-11-29,11,25.159,WAS,@,PHI,L 24-27,,3,10,3.33,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0
6,2009,2009-12-06,12,25.166,WAS,,NOR,L 30-33,,3,4,1.33,0,1,1,6,6.00,0,100.0%,6.00,1,18,18.00,0
7,2009,2009-12-13,13,25.173,WAS,@,OAK,W 34-13,,6,32,5.33,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0
8,2009,2009-12-21,14,25.181,WAS,,NYG,L 12-45,,4,25,6.25,0,2,2,25,12.50,0,100.0%,12.50,0,0,,0
9,2009,2009-12-27,15,25.187,WAS,,DAL,L 0-17,,4,11,2.75,0,1,0,0,,0,0.0%,0.00,1,13,13.00,0
10,2009,2010-01-03,16,25.194,WAS,@,SDG,L 20-23,,6,26,4.33,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0
