ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1984,1984-09-02,1,23.160,PIT,,KAN,L 27-37,0,0,,0,0,0,,0
2,1984,1984-09-16,3,23.174,PIT,,RAM,W 24-14,4,6,1.50,0,0,0,,0
3,1984,1984-09-23,4,23.181,PIT,@,CLE,L 10-20,12,35,2.92,0,0,0,,0
4,1984,1984-10-01,5,23.189,PIT,,CIN,W 38-17,1,2,2.00,0,0,0,,0
5,1984,1984-10-07,6,23.195,PIT,,MIA,L 7-31,1,2,2.00,0,0,0,,0
6,1984,1984-10-14,7,23.202,PIT,@,SFO,W 20-17,1,1,1.00,0,0,0,,0
7,1984,1984-10-21,8,23.209,PIT,@,IND,L 16-17,1,2,2.00,0,0,0,,0
8,1984,1984-10-28,9,23.216,PIT,,ATL,W 35-10,2,6,3.00,0,0,0,,0
9,1984,1984-11-04,10,23.223,PIT,,HOU,W 35-7,5,21,4.20,0,0,0,,0
10,1984,1984-11-11,11,23.230,PIT,@,CIN,L 20-22,0,0,,0,3,22,7.33,0
11,1984,1984-11-19,12,23.238,PIT,@,NOR,L 24-27,0,0,,0,0,0,,0
12,1984,1984-11-25,13,23.244,PIT,,SDG,W 52-24,4,12,3.00,0,0,0,,0
13,1984,1984-12-02,14,23.251,PIT,@,HOU,L 20-23,0,0,,0,1,18,18.00,0
14,1984,1984-12-09,15,23.258,PIT,,CLE,W 23-20,0,0,,0,0,0,,0
15,1984,1984-12-16,16,23.265,PIT,@,RAI,W 13-7,0,0,,0,0,0,,0
