ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1961,1961-09-17,1,31.120,STL,@,NYG,W 21-10,*,10,23,43.48,97,1,0,70.4,0,0,4.22,5.09,5,-14,-2.80,0,0,0,,0
2,1961,1961-09-24,2,31.127,STL,@,CLE,L 17-20,*,9,19,47.37,94,2,1,75.3,0,0,4.95,4.68,1,-3,-3.00,0,0,0,,0
3,1961,1961-10-01,3,31.134,STL,@,PHI,W 30-27,*,11,14,78.57,148,2,1,120.5,0,0,10.57,10.21,4,15,3.75,0,0,0,,0
4,1961,1961-10-08,4,31.141,STL,,NYG,L 9-24,*,2,7,28.57,18,0,0,39.6,0,0,2.57,2.57,1,-1,-1.00,0,0,0,,0
5,1961,1961-10-15,5,31.148,STL,,PHI,L 7-20,*,9,16,56.25,60,0,2,25.0,0,0,3.75,-1.88,4,14,3.50,0,0,0,,0
6,1961,1961-10-29,7,31.162,STL,,CLE,L 10-21,,1,4,25.00,12,0,1,0.0,0,0,3.00,-8.25,0,0,,0,0,0,,0
7,1961,1961-11-12,9,31.176,STL,,DET,L 14-45,,14,28,50.00,188,2,2,65.8,0,0,6.71,4.93,1,-2,-2.00,0,0,0,,0
8,1961,1961-11-19,10,31.183,STL,@,BAL,L 0-16,*,7,20,35.00,81,0,1,27.3,0,0,4.05,1.80,3,4,1.33,0,0,0,,0
9,1961,1961-11-26,11,31.190,STL,@,PIT,L 27-30,*,5,9,55.56,51,1,1,69.4,0,0,5.67,2.89,2,6,3.00,0,0,0,,0
10,1961,1961-12-03,12,31.197,STL,,WAS,W 38-24,,6,10,60.00,163,2,0,143.7,0,0,16.30,20.30,3,2,0.67,0,0,0,,0
11,1961,1961-12-10,13,31.204,STL,,DAL,W 31-13,*,13,25,52.00,265,2,2,82.9,0,0,10.60,8.60,2,-2,-1.00,0,0,0,,0
12,1961,1961-12-17,14,31.211,STL,,PIT,W 20-0,*,9,21,42.86,98,2,0,89.0,0,0,4.67,6.57,7,54,7.71,0,0,0,,0
13,1962,1962-09-16,1,32.119,STL,@,PHI,W 27-21,*,13,23,56.52,184,2,0,111.5,0,0,8.00,9.74,2,9,4.50,0,5,170,34.00,0
14,1962,1962-09-23,2,32.126,STL,@,GNB,L 0-17,*,15,30,50.00,124,0,2,33.2,0,0,4.13,1.13,2,0,0.00,0,6,231,38.50,0
15,1962,1962-09-30,3,32.133,STL,@,WAS,L 14-24,*,19,30,63.33,281,0,4,54.3,0,0,9.37,3.37,3,-5,-1.67,0,0,0,,0
16,1962,1962-10-07,4,32.140,STL,,NYG,L 14-31,*,4,10,40.00,50,0,2,16.7,0,0,5.00,-4.00,0,0,,0,6,212,35.33,1
17,1962,1962-10-14,5,32.147,STL,,WAS,T 17-17,,0,0,,0,0,0,,0,0,,,0,0,,0,5,212,42.40,0
18,1962,1962-10-21,6,32.154,STL,,CLE,L 7-34,,0,0,,0,0,0,,0,0,,,0,0,,0,4,184,46.00,0
19,1962,1962-10-28,7,32.161,STL,@,DAL,W 28-24,,0,0,,0,0,0,,0,0,,,0,0,,0,5,195,39.00,0
20,1962,1962-11-04,8,32.168,STL,@,NYG,L 28-31,,0,0,,0,0,0,,0,0,,,0,0,,0,4,153,38.25,0
21,1962,1962-11-11,9,32.175,STL,,PIT,L 17-26,,0,0,,0,0,0,,0,0,,,0,0,,0,3,111,37.00,0
22,1962,1962-11-18,10,32.182,STL,@,CLE,L 14-38,,6,11,54.55,58,0,2,29.9,0,0,5.27,-2.91,1,1,1.00,0,5,170,34.00,0
23,1962,1962-11-25,11,32.189,STL,,SFO,L 17-24,,0,0,,0,0,0,,0,0,,,0,0,,0,5,210,42.00,0
24,1962,1962-12-02,12,32.196,STL,@,PIT,L 7-19,,1,1,100.00,10,0,0,108.3,0,0,10.00,10.00,0,0,,0,6,240,40.00,0
25,1962,1962-12-09,13,32.203,STL,,DAL,W 52-20,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,2,79,39.50,0
26,1962,1962-12-16,14,32.210,STL,,PHI,W 45-35,,0,0,,0,0,0,,0,0,,,0,0,,0,3,91,30.33,0
