ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1986,1986-09-07,1,22.183,PHI,@,WAS,L 14-41,0,0,,0,1,10,10.00,0,0,0
2,1986,1986-09-14,2,22.190,PHI,@,CHI,L 10-13,0,0,,0,1,35,35.00,0,0,0
3,1986,1986-09-21,3,22.197,PHI,,DEN,L 7-33,0,0,,0,2,30,15.00,0,0,0
4,1986,1986-09-28,4,22.204,PHI,,RAM,W 34-20,0,0,,0,1,17,17.00,0,0,0
5,1986,1986-10-05,5,22.211,PHI,@,ATL,W 16-0,0,0,,0,0,0,,0,,
6,1986,1986-10-12,6,22.218,PHI,@,NYG,L 3-35,0,0,,0,4,89,22.25,0,0,0
7,1986,1986-10-19,7,22.225,PHI,,DAL,L 14-17,6,13,2.17,0,1,15,15.00,0,0,0
8,1986,1986-10-26,8,22.232,PHI,,SDG,W 23-7,5,31,6.20,0,2,21,10.50,0,0,0
9,1986,1986-11-02,9,22.239,PHI,@,STL,L 10-13,10,25,2.50,1,1,15,15.00,0,1,6
10,1986,1986-11-09,10,22.246,PHI,,NYG,L 14-17,5,17,3.40,0,0,0,,0,0,0
11,1986,1986-11-16,11,22.253,PHI,,DET,L 11-13,1,1,1.00,0,3,32,10.67,0,0,0
12,1986,1986-11-23,12,22.260,PHI,@,SEA,L 20-24,0,0,,0,2,38,19.00,0,0,0
13,1986,1986-11-30,13,22.267,PHI,@,RAI,W 33-27,0,0,,0,3,57,19.00,0,0,0
14,1986,1986-12-07,14,22.274,PHI,,STL,T 10-10,1,1,1.00,0,3,48,16.00,0,0,0
15,1986,1986-12-14,15,22.281,PHI,@,DAL,W 23-21,0,0,,0,2,62,31.00,0,0,0
16,1986,1986-12-21,16,22.288,PHI,,WAS,L 14-21,0,0,,0,1,28,28.00,0,0,0
17,1987,1987-09-13,1,23.189,PHI,@,WAS,L 24-34,,,,,,,,,,
18,1987,1987-09-20,2,23.196,PHI,,NOR,W 27-17,,,,,,,,,,
