ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1989,1989-09-10,1,23.023,SEA,@,PHI,L 7-31,1,6,6.00,0,0,0,,0,0,0,,0
2,1989,1989-09-17,2,23.030,SEA,,PHO,L 24-34,0,0,,0,0,0,,0,3,49,16.33,0
3,1989,1989-09-24,3,23.037,SEA,@,NWE,W 24-3,0,0,,0,0,0,,0,0,0,,0
4,1989,1989-10-08,5,23.051,SEA,,KAN,L 16-20,0,0,,0,0,0,,0,0,0,,0
5,1989,1989-10-15,6,23.058,SEA,@,SDG,W 17-16,0,0,,0,0,0,,0,2,25,12.50,0
6,1989,1989-10-22,7,23.065,SEA,,DEN,L 21-24,0,0,,0,0,0,,0,0,0,,0
7,1989,1989-10-29,8,23.072,SEA,,SDG,W 10-7,0,0,,0,1,11,11.00,0,1,14,14.00,0
8,1989,1989-11-05,9,23.079,SEA,@,KAN,L 10-20,0,0,,0,0,0,,0,2,36,18.00,0
9,1989,1989-11-12,10,23.086,SEA,,CLE,L 7-17,0,0,,0,0,0,,0,2,43,21.50,0
10,1989,1989-11-19,11,23.093,SEA,@,NYG,L 3-15,3,3,1.00,0,1,7,7.00,0,1,20,20.00,0
11,1989,1989-11-26,12,23.100,SEA,@,DEN,L 14-41,4,14,3.50,0,1,8,8.00,0,0,0,,0
12,1989,1989-12-10,14,23.114,SEA,@,CIN,W 24-17,0,0,,0,0,0,,0,3,65,21.67,0
13,1989,1989-12-17,15,23.121,SEA,,RAI,W 23-17,0,0,,0,0,0,,0,0,0,,0
14,1989,1989-12-23,16,23.127,SEA,,WAS,L 0-29,0,0,,0,0,0,,0,4,82,20.50,0
