ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1968,1968-09-14,1,23.039,ATL,@,MIN,L 7-47,5,9,1.80,1,4,40,10.00,0,1,6
2,1968,1968-09-22,2,23.047,ATL,,BAL,L 20-28,8,34,4.25,0,3,23,7.67,0,0,0
3,1968,1968-09-29,3,23.054,ATL,@,SFO,L 13-28,6,-9,-1.50,0,1,1,1.00,0,0,0
4,1968,1968-10-06,4,23.061,ATL,,GNB,L 7-38,5,16,3.20,0,1,6,6.00,0,0,0
5,1968,1968-10-13,5,23.068,ATL,,NYG,W 24-21,2,9,4.50,0,1,11,11.00,0,0,0
6,1968,1968-10-20,6,23.075,ATL,@,RAM,L 14-27,0,0,,0,1,11,11.00,0,0,0
7,1968,1968-10-27,7,23.082,ATL,@,CLE,L 7-30,5,27,5.40,0,2,27,13.50,0,0,0
8,1968,1968-11-10,9,23.096,DEN,,OAK,L 7-43,1,6,6.00,0,0,0,,0,0,0
9,1968,1968-11-17,10,23.103,DEN,@,HOU,L 17-38,10,31,3.10,0,0,0,,0,0,0
10,1968,1968-11-24,11,23.110,DEN,,BUF,W 34-32,3,16,5.33,0,2,48,24.00,1,1,6
11,1968,1968-12-01,12,23.117,DEN,,SDG,L 23-47,5,11,2.20,0,4,15,3.75,1,1,6
12,1968,1968-12-08,13,23.124,DEN,@,OAK,L 27-33,4,8,2.00,0,0,0,,0,0,0
13,1968,1968-12-14,14,23.130,DEN,,KAN,L 7-30,5,17,3.40,0,1,6,6.00,0,0,0
